gene	kog_id	kog_evalue	kog_description
TRINITY_DN1869_c0_g1_i4	At1g21570	7.2e-36	At1g21570
TRINITY_DN1869_c0_g1_i4	At1g21570	2.3e-10	At1g21570
TRINITY_DN1780_c0_g1_i7	At4g27490	1.6e-59	At4g27490
TRINITY_DN667_c0_g2_i2	At1g55540	7.7e-139	At1g55540
TRINITY_DN25296_c0_g1_i1	At1g15240	2.7e-168	At1g15240
TRINITY_DN2750_c1_g1_i2	At1g03080	5.4e-68	At1g03080
TRINITY_DN2750_c1_g1_i2	At1g03080	2.0e-14	At1g03080
TRINITY_DN7727_c0_g2_i3	At2g46560	0.0e+00	At2g46560
TRINITY_DN696_c0_g1_i5	At3g60240_1	1.6e-245	At3g60240_1
TRINITY_DN6571_c0_g1_i1	At5g24350	0.0e+00	At5g24350
TRINITY_DN7319_c0_g4_i4	Hs14719394	3.2e-134	Hs14719394
TRINITY_DN7319_c0_g4_i4	Hs14719394	1.4e-12	Hs14719394
TRINITY_DN2599_c0_g1_i1	At5g55100	7.3e-54	At5g55100
TRINITY_DN1425_c0_g1_i4	At5g26570	0.0e+00	At5g26570
TRINITY_DN3386_c1_g2_i1	At1g50030	0.0e+00	At1g50030
TRINITY_DN3386_c1_g2_i1	At1g50030	0.0e+00	At1g50030
TRINITY_DN4339_c0_g1_i4	At3g07400	1.7e-87	At3g07400
TRINITY_DN4339_c0_g1_i4	At3g07400	4.2e-78	At3g07400
TRINITY_DN4339_c0_g1_i4	At3g07400	5.0e-55	At3g07400
TRINITY_DN4982_c0_g1_i6	At1g77460	0.0e+00	At1g77460
TRINITY_DN1854_c0_g1_i5	At1g55170	3.5e-48	At1g55170
TRINITY_DN17928_c0_g1_i9	At3g56120	9.0e-113	At3g56120
TRINITY_DN17928_c0_g1_i9	At3g56120	2.7e-16	At3g56120
TRINITY_DN6287_c0_g2_i4	At1g36160	0.0e+00	At1g36160
TRINITY_DN6287_c0_g2_i4	At1g36160	8.7e-310	At1g36160
TRINITY_DN4907_c0_g1_i3	At4g15180	0.0e+00	At4g15180
TRINITY_DN9687_c0_g1_i10	At3g54010	2.2e-220	At3g54010
TRINITY_DN11310_c0_g1_i11	At4g33150	0.0e+00	At4g33150
TRINITY_DN11310_c0_g1_i11	At4g33150	7.8e-93	At4g33150
TRINITY_DN9413_c0_g3_i6	At4g10320	0.0e+00	At4g10320
TRINITY_DN7042_c0_g1_i5	At2g27120	0.0e+00	At2g27120
TRINITY_DN9088_c0_g1_i2	At1g60890	2.3e-113	At1g60890
TRINITY_DN9088_c0_g1_i2	At1g60890	1.2e-45	At1g60890
TRINITY_DN1798_c0_g1_i4	At3g50370	1.4e-134	At3g50370
TRINITY_DN4855_c0_g1_i4	At5g44800	0.0e+00	At5g44800
TRINITY_DN4086_c0_g2_i9	At5g13000	0.0e+00	At5g13000
TRINITY_DN4086_c0_g2_i9	At5g13000	3.4e-141	At5g13000
TRINITY_DN4086_c0_g2_i9	At5g13000	2.1e-21	At5g13000
TRINITY_DN1431_c0_g1_i3	At4g35470	1.6e-18	At4g35470
TRINITY_DN13350_c0_g1_i7	At3g17820	3.6e-82	At3g17820
TRINITY_DN13350_c0_g1_i7	At3g17820	1.4e-09	At3g17820
TRINITY_DN12328_c0_g1_i1	At2g25730	0.0e+00	At2g25730
TRINITY_DN1933_c0_g2_i9	At1g67120	1.7e-156	At1g67120
TRINITY_DN64_c0_g2_i3	At1g44910	1.5e-93	At1g44910
TRINITY_DN64_c0_g2_i3	At1g44910	8.9e-25	At1g44910
TRINITY_DN64_c0_g2_i3	At1g44910	2.3e-20	At1g44910
TRINITY_DN4096_c0_g1_i4	At5g16210	0.0e+00	At5g16210
TRINITY_DN4096_c0_g1_i4	At5g16210	1.3e-113	At5g16210
TRINITY_DN936_c0_g1_i9	At3g44880	4.3e-88	At3g44880
TRINITY_DN936_c0_g1_i9	At3g44880	3.9e-65	At3g44880
TRINITY_DN936_c0_g1_i9	At3g44880	1.7e-23	At3g44880
TRINITY_DN936_c0_g1_i9	At3g44880	9.8e-16	At3g44880
TRINITY_DN7788_c0_g1_i1	At5g53460	0.0e+00	At5g53460
TRINITY_DN117_c0_g1_i5	At4g00800_2	1.7e-169	At4g00800_2
TRINITY_DN4329_c0_g1_i1	At1g80070	0.0e+00	At1g80070
TRINITY_DN14399_c0_g1_i8	At5g13540	0.0e+00	At5g13540
TRINITY_DN32289_c0_g3_i13	At1g05830_2	9.0e-179	At1g05830_2
TRINITY_DN5090_c0_g2_i1	At4g00450	0.0e+00	At4g00450
TRINITY_DN23693_c0_g1_i15	At1g22860	7.9e-252	At1g22860
TRINITY_DN1938_c0_g2_i5	At1g36590_2	1.9e-51	At1g36590_2
TRINITY_DN3792_c0_g1_i3	At2g46020	0.0e+00	At2g46020
TRINITY_DN53538_c0_g1_i1	At5g15680	0.0e+00	At5g15680
TRINITY_DN17194_c0_g3_i2	At3g53090	0.0e+00	At3g53090
TRINITY_DN4541_c0_g1_i6	At1g12360	4.2e-237	At1g12360
TRINITY_DN4541_c0_g1_i6	At1g12360	1.2e-18	At1g12360
TRINITY_DN9015_c0_g1_i8	At4g11240	4.4e-146	At4g11240
TRINITY_DN252_c0_g1_i1	At5g20280	0.0e+00	At5g20280
TRINITY_DN3792_c0_g2_i3	At2g46020	0.0e+00	At2g46020
TRINITY_DN3957_c0_g2_i7	At1g76690	3.0e-86	At1g76690
TRINITY_DN3957_c0_g2_i7	At1g76690	4.3e-85	At1g76690
TRINITY_DN3957_c0_g2_i7	At1g76690	3.5e-79	At1g76690
TRINITY_DN3957_c0_g2_i7	At1g76690	3.1e-11	At1g76690
TRINITY_DN12761_c0_g1_i15	At1g31480	1.6e-241	At1g31480
TRINITY_DN5541_c1_g1_i23	At1g06470	8.4e-57	At1g06470
TRINITY_DN5541_c1_g1_i23	At1g06470	2.5e-37	At1g06470
TRINITY_DN2482_c0_g1_i6	At4g17330_2	5.6e-85	At4g17330_2
TRINITY_DN2482_c0_g1_i6	At4g17330_2	5.5e-32	At4g17330_2
TRINITY_DN301_c0_g2_i1	At3g05680	0.0e+00	At3g05680
TRINITY_DN4508_c0_g1_i11	At1g31440	9.6e-61	At1g31440
TRINITY_DN4508_c0_g1_i11	At1g31440	7.0e-11	At1g31440
TRINITY_DN4508_c0_g1_i11	At1g31440	7.0e-11	At1g31440
TRINITY_DN4508_c0_g1_i11	At1g31440	6.1e-07	At1g31440
TRINITY_DN2747_c0_g1_i18	At1g42375	3.8e-17	At1g42375
TRINITY_DN7711_c0_g1_i1	At3g54280	0.0e+00	At3g54280
TRINITY_DN5536_c0_g1_i2	At1g20960	0.0e+00	At1g20960
TRINITY_DN424_c0_g1_i1	At1g20760	4.7e-145	At1g20760
TRINITY_DN5340_c1_g1_i8	At1g27850	3.0e-59	At1g27850
TRINITY_DN5340_c1_g1_i8	At1g27850	2.4e-11	At1g27850
TRINITY_DN24547_c0_g1_i2	At5g65750	0.0e+00	At5g65750
TRINITY_DN6198_c0_g1_i7	At5g53130	1.1e-226	At5g53130
TRINITY_DN940_c1_g1_i9	At1g10760	0.0e+00	At1g10760
TRINITY_DN41539_c0_g1_i19	At1g54130	2.0e-34	At1g54130
TRINITY_DN41539_c0_g1_i19	At1g54130	2.6e-34	At1g54130
TRINITY_DN5356_c0_g1_i14	At1g63490	0.0e+00	At1g63490
TRINITY_DN5356_c0_g1_i14	At1g63490	9.4e-29	At1g63490
TRINITY_DN3352_c0_g1_i3	At1g24120	6.0e-76	At1g24120
TRINITY_DN7437_c0_g1_i2	At1g67140	0.0e+00	At1g67140
TRINITY_DN3676_c0_g1_i3	At4g30150	2.9e-203	At4g30150
TRINITY_DN7433_c0_g1_i8	At2g45260	6.2e-150	At2g45260
TRINITY_DN6674_c0_g1_i1	At3g10010	1.3e-152	At3g10010
TRINITY_DN4647_c0_g1_i1	At1g55320	1.1e-234	At1g55320
TRINITY_DN4647_c0_g1_i1	At1g55320	6.3e-195	At1g55320
TRINITY_DN320_c0_g1_i4	At5g02300	7.8e-278	At5g02300
TRINITY_DN18105_c0_g1_i3	At3g06530	0.0e+00	At3g06530
TRINITY_DN8087_c0_g1_i1	At1g77460	0.0e+00	At1g77460
TRINITY_DN7907_c0_g2_i1	At1g42375	0.0e+00	At1g42375
TRINITY_DN8477_c0_g2_i4	At1g80830	2.1e-105	At1g80830
TRINITY_DN8477_c0_g2_i4	At1g80830	6.3e-54	At1g80830
TRINITY_DN9584_c0_g1_i7	At3g12810	0.0e+00	At3g12810
TRINITY_DN1572_c1_g1_i3	AtCh008	2.7e-254	AtCh008
TRINITY_DN2628_c0_g1_i8	At3g24880	1.6e-198	At3g24880
TRINITY_DN6333_c0_g1_i2	At3g19190	3.4e-294	At3g19190
TRINITY_DN7434_c0_g1_i1	At5g42400	8.8e-149	At5g42400
TRINITY_DN2356_c0_g1_i3	At5g20250	0.0e+00	At5g20250
TRINITY_DN1626_c0_g1_i4	At1g79280	5.8e-124	At1g79280
TRINITY_DN1626_c0_g1_i4	At1g79280	1.1e-90	At1g79280
TRINITY_DN2163_c0_g1_i5	At5g65180	2.9e-19	At5g65180
TRINITY_DN2163_c0_g1_i5	At5g65180	3.8e-19	At5g65180
TRINITY_DN7458_c0_g1_i6	At5g62760	5.5e-42	At5g62760
TRINITY_DN7458_c0_g1_i6	At5g62760	3.0e-16	At5g62760
TRINITY_DN5095_c0_g1_i10	At5g16780	1.8e-194	At5g16780
TRINITY_DN42346_c0_g2_i6	At1g77300	1.5e-95	At1g77300
TRINITY_DN49_c0_g2_i3	At1g05570	0.0e+00	At1g05570
TRINITY_DN2210_c0_g1_i6	At1g34190	2.7e-17	At1g34190
TRINITY_DN2105_c0_g1_i4	YLR154w-a	1.8e-16	YLR154w-a gi|23270399|ref|NP_690845.1| Transcript Antisense to Ribosomal RNA; Tar1p [Saccharomyces cerevisiae]
TRINITY_DN14152_c0_g1_i2	At1g22540	5.9e-105	At1g22540
TRINITY_DN5841_c0_g1_i8	At1g21230	9.6e-116	At1g21230
TRINITY_DN5841_c0_g1_i8	At1g21230	3.7e-115	At1g21230
TRINITY_DN10746_c0_g1_i1	At1g22060	5.1e-133	At1g22060
TRINITY_DN10746_c0_g1_i1	At1g22060	4.9e-59	At1g22060
TRINITY_DN11819_c0_g1_i2	At1g69070	1.3e-197	At1g69070
TRINITY_DN11819_c0_g1_i2	At1g69070	8.6e-165	At1g69070
TRINITY_DN243_c0_g1_i5	At4g11270	0.0e+00	At4g11270
TRINITY_DN2111_c0_g1_i2	At2g28360	4.2e-172	At2g28360
TRINITY_DN5610_c0_g1_i8	At1g65440	0.0e+00	At1g65440
TRINITY_DN4377_c0_g1_i16	At2g19710	5.4e-10	At2g19710
TRINITY_DN129_c0_g1_i6	At5g04250	3.6e-22	At5g04250
TRINITY_DN129_c0_g1_i6	At5g04250	3.9e-08	At5g04250
TRINITY_DN129_c0_g1_i6	At5g04250	5.2e-05	At5g04250
TRINITY_DN2402_c0_g1_i4	At4g16310	9.2e-228	At4g16310
TRINITY_DN11524_c0_g1_i5	At3g23590	0.0e+00	At3g23590
TRINITY_DN743_c0_g1_i2	At4g28080	2.2e-229	At4g28080
TRINITY_DN472_c0_g1_i2	At4g10070	2.5e-52	At4g10070
TRINITY_DN323_c0_g1_i3	At3g14690	1.2e-139	At3g14690
TRINITY_DN6049_c0_g1_i13	At5g18530	9.9e-174	At5g18530
TRINITY_DN6049_c0_g1_i13	At5g18530	1.1e-82	At5g18530
TRINITY_DN6049_c0_g1_i13	At5g18530	3.3e-76	At5g18530
TRINITY_DN3823_c0_g1_i2	At2g17510	0.0e+00	At2g17510
TRINITY_DN1286_c0_g1_i5	At5g58410	0.0e+00	At5g58410
TRINITY_DN1280_c1_g2_i4	At5g44180	3.6e-256	At5g44180
TRINITY_DN1280_c1_g2_i4	At5g44180	7.1e-39	At5g44180
TRINITY_DN14212_c0_g1_i6	At1g22030	3.2e-39	At1g22030
TRINITY_DN14212_c0_g1_i6	At1g22030	1.8e-26	At1g22030
TRINITY_DN6333_c0_g1_i4	At3g19190	4.7e-293	At3g19190
TRINITY_DN8163_c0_g1_i1	At5g18610	8.2e-128	At5g18610
TRINITY_DN8163_c0_g1_i1	At5g18610	1.7e-56	At5g18610
TRINITY_DN7169_c0_g1_i1	At2g40030	1.6e-248	At2g40030
TRINITY_DN4992_c0_g1_i12	At4g30130	1.2e-41	At4g30130
TRINITY_DN4992_c0_g1_i12	At4g30130	1.3e-40	At4g30130
TRINITY_DN4992_c0_g1_i12	At4g30130	6.0e-22	At4g30130
TRINITY_DN8344_c0_g1_i3	At3g14980	1.4e-135	At3g14980
TRINITY_DN296_c0_g1_i8	At3g25840	9.2e-172	At3g25840
TRINITY_DN296_c0_g1_i8	At3g25840	6.9e-10	At3g25840
TRINITY_DN7023_c0_g1_i12	At4g03810	3.1e-183	At4g03810
TRINITY_DN7023_c0_g1_i12	At4g03810	1.6e-62	At4g03810
TRINITY_DN1106_c0_g1_i5	At4g32850	1.6e-237	At4g32850
TRINITY_DN1022_c0_g1_i12	At3g07160	0.0e+00	At3g07160
TRINITY_DN8601_c0_g1_i3	At4g32820	0.0e+00	At4g32820
TRINITY_DN9328_c0_g1_i1	At4g30100	0.0e+00	At4g30100
TRINITY_DN4904_c1_g1_i9	At5g06600	3.7e-282	At5g06600
TRINITY_DN5561_c0_g1_i17	At2g39580	4.1e-111	At2g39580
TRINITY_DN13045_c0_g1_i1	At5g35210_1	9.7e-81	At5g35210_1
TRINITY_DN8344_c1_g1_i3	AtCh013	0.0e+00	AtCh013
TRINITY_DN7732_c0_g1_i5	At5g62090	1.1e-113	At5g62090
TRINITY_DN7620_c0_g1_i7	At5g51200	0.0e+00	At5g51200
TRINITY_DN274_c0_g1_i9	At3g14270	0.0e+00	At3g14270
TRINITY_DN14_c0_g1_i1	At4g38610	5.0e-287	At4g38610
TRINITY_DN19182_c0_g1_i4	At1g32750	0.0e+00	At1g32750
TRINITY_DN2172_c0_g1_i3	At4g29010	3.8e-263	At4g29010
TRINITY_DN2172_c0_g1_i3	At4g29010	1.2e-99	At4g29010
TRINITY_DN1409_c1_g1_i1	At1g55350	0.0e+00	At1g55350
TRINITY_DN2205_c0_g1_i11	At4g02680	0.0e+00	At4g02680
TRINITY_DN12174_c0_g1_i1	At5g42400	1.7e-130	At5g42400
TRINITY_DN49_c0_g3_i1	At1g05570	0.0e+00	At1g05570
TRINITY_DN49_c0_g1_i1	At1g05570	0.0e+00	At1g05570
TRINITY_DN34233_c0_g1_i7	At1g24706	0.0e+00	At1g24706
TRINITY_DN742_c0_g2_i2	At1g50200	0.0e+00	At1g50200
TRINITY_DN1212_c0_g1_i3	At2g13370	0.0e+00	At2g13370
TRINITY_DN12926_c0_g1_i13	At2g36810	4.0e-196	At2g36810
TRINITY_DN12926_c0_g1_i13	At2g36810	1.7e-109	At2g36810
TRINITY_DN12937_c0_g1_i3	At3g12100	1.2e-67	At3g12100
TRINITY_DN12937_c0_g1_i3	At3g12100	8.7e-34	At3g12100
TRINITY_DN12937_c0_g1_i3	At3g12100	2.9e-05	At3g12100
TRINITY_DN2007_c0_g2_i2	At4g31160	0.0e+00	At4g31160
TRINITY_DN3490_c0_g1_i1	At3g24740	4.6e-83	At3g24740
TRINITY_DN2264_c0_g1_i6	At3g09670	1.9e-41	At3g09670
TRINITY_DN8510_c0_g1_i14	At5g07980	1.3e-40	At5g07980
TRINITY_DN1626_c0_g1_i3	At1g79280	9.4e-206	At1g79280
TRINITY_DN19741_c0_g1_i12	At4g00490	3.3e-166	At4g00490
TRINITY_DN19741_c0_g1_i12	At4g00490	1.3e-141	At4g00490
TRINITY_DN2519_c0_g1_i1	At1g71010	0.0e+00	At1g71010
TRINITY_DN6461_c0_g1_i9	At3g27670	0.0e+00	At3g27670
TRINITY_DN15897_c0_g1_i3	At3g57350	4.2e-222	At3g57350
TRINITY_DN15897_c0_g1_i3	At3g57350	6.3e-77	At3g57350
TRINITY_DN9210_c0_g1_i2	At5g07980	3.9e-42	At5g07980
TRINITY_DN9210_c0_g1_i3	At5g07940	8.7e-10	At5g07940
TRINITY_DN3044_c0_g1_i11	At3g62900	3.9e-95	At3g62900
TRINITY_DN12042_c0_g1_i9	At4g24020	1.4e-222	At4g24020
TRINITY_DN4610_c0_g3_i2	At3g47910	1.4e-225	At3g47910
TRINITY_DN9321_c0_g1_i11	At5g15540	2.9e-284	At5g15540
TRINITY_DN9321_c0_g1_i11	At5g15540	6.9e-132	At5g15540
TRINITY_DN320_c0_g1_i5	At5g02300	9.8e-171	At5g02300
TRINITY_DN2380_c0_g1_i1	At5g63190	6.2e-266	At5g63190
TRINITY_DN2380_c0_g1_i1	At5g63190	4.2e-04	At5g63190
TRINITY_DN3291_c0_g1_i9	At1g79000	0.0e+00	At1g79000
TRINITY_DN24014_c0_g1_i3	At1g44510	2.4e-286	At1g44510
TRINITY_DN3291_c0_g1_i3	At1g79000	0.0e+00	At1g79000
TRINITY_DN13551_c0_g1_i2	At3g26720	0.0e+00	At3g26720
TRINITY_DN1338_c1_g2_i7	At5g27970	0.0e+00	At5g27970
TRINITY_DN8619_c0_g1_i5	At1g49400	5.4e-20	At1g49400
TRINITY_DN12849_c1_g1_i9	At4g03810	1.1e-227	At4g03810
TRINITY_DN1506_c0_g1_i2	At3g11964	0.0e+00	At3g11964
TRINITY_DN1506_c0_g1_i2	At3g11964	7.5e-06	At3g11964
TRINITY_DN12791_c0_g1_i5	At5g35840	0.0e+00	At5g35840
TRINITY_DN973_c0_g1_i35	At5g25560	3.9e-79	At5g25560
TRINITY_DN8379_c0_g1_i1	At5g38890_2	2.4e-12	At5g38890_2
TRINITY_DN257_c0_g2_i1	At3g16240	2.7e-96	At3g16240
TRINITY_DN5718_c0_g1_i2	At4g31160	0.0e+00	At4g31160
TRINITY_DN8435_c0_g1_i3	At1g59453	4.2e-299	At1g59453
TRINITY_DN3729_c0_g1_i2	At3g07160	0.0e+00	At3g07160
TRINITY_DN12863_c0_g2_i1	At3g14470	1.9e-97	At3g14470
TRINITY_DN12863_c0_g2_i1	At3g14470	4.5e-51	At3g14470
TRINITY_DN1944_c0_g1_i2	At4g22200	7.7e-269	At4g22200
TRINITY_DN5299_c0_g1_i2	At4g35800	0.0e+00	At4g35800
TRINITY_DN5299_c0_g1_i2	At4g35800	3.4e-06	At4g35800
TRINITY_DN715_c0_g1_i3	At3g04740	0.0e+00	At3g04740
TRINITY_DN4524_c0_g1_i2	At4g01800	5.7e-264	At4g01800
TRINITY_DN1001_c1_g1_i1	At2g20580	0.0e+00	At2g20580
TRINITY_DN10_c0_g6_i1	At1g59750	1.5e-160	At1g59750
TRINITY_DN9042_c0_g1_i9	At4g16340	0.0e+00	At4g16340
TRINITY_DN6420_c0_g1_i3	At1g11265	1.5e-296	At1g11265
TRINITY_DN7449_c0_g2_i1	At1g04160	0.0e+00	At1g04160
TRINITY_DN9970_c0_g3_i2	At5g23080	7.9e-226	At5g23080
TRINITY_DN22987_c0_g1_i3	At5g55400	2.3e-262	At5g55400
TRINITY_DN24423_c1_g1_i3	At1g01040	0.0e+00	At1g01040
TRINITY_DN24423_c1_g1_i3	At1g01040	4.9e-34	At1g01040
TRINITY_DN3743_c0_g1_i1	At4g32620	1.6e-173	At4g32620
TRINITY_DN20361_c0_g1_i3	At4g38750	6.4e-127	At4g38750
TRINITY_DN7805_c0_g1_i6	At3g08620	2.0e-67	At3g08620
TRINITY_DN7805_c0_g1_i6	At3g08620	8.3e-34	At3g08620
TRINITY_DN14381_c0_g1_i4	At5g49930	5.1e-310	At5g49930
TRINITY_DN14381_c0_g1_i4	At5g49930	1.0e-55	At5g49930
TRINITY_DN2667_c0_g1_i9	At3g43790	2.6e-88	At3g43790
TRINITY_DN2667_c0_g1_i9	At3g43790	6.2e-05	At3g43790
TRINITY_DN5340_c0_g1_i11	At2g36380	5.8e-144	At2g36380
TRINITY_DN5340_c0_g1_i11	At2g36380	9.9e-104	At2g36380
TRINITY_DN5340_c0_g1_i11	At2g36380	3.6e-37	At2g36380
TRINITY_DN5340_c0_g1_i11	At2g36380	8.1e-05	At2g36380
TRINITY_DN1941_c0_g1_i1	At3g43300	0.0e+00	At3g43300
TRINITY_DN10289_c0_g1_i9	At4g16070	1.9e-70	At4g16070
TRINITY_DN10289_c0_g1_i9	At4g16070	1.3e-15	At4g16070
TRINITY_DN10289_c0_g1_i9	At4g16070	1.7e-15	At4g16070
TRINITY_DN10289_c0_g1_i9	At4g16070	1.0e-07	At4g16070
TRINITY_DN10289_c0_g1_i9	At4g16070	1.0e-07	At4g16070
TRINITY_DN12257_c0_g1_i6	At1g25540	2.2e-71	At1g25540
TRINITY_DN1074_c0_g2_i3	At3g51120_2	1.3e-87	At3g51120_2
TRINITY_DN10060_c0_g1_i13	At3g52240	2.5e-22	At3g52240
TRINITY_DN10060_c0_g1_i13	At3g52240	2.5e-22	At3g52240
TRINITY_DN2075_c1_g1_i8	At5g19760	2.7e-141	At5g19760
TRINITY_DN2075_c1_g1_i8	At5g19760	2.7e-109	At5g19760
TRINITY_DN1907_c0_g1_i6	At1g58025	7.7e-40	At1g58025
TRINITY_DN11868_c0_g1_i1	At1g16800	0.0e+00	At1g16800
TRINITY_DN17037_c0_g1_i5	At3g07040	9.4e-30	At3g07040
TRINITY_DN3189_c0_g1_i11	At3g23540	4.2e-147	At3g23540
TRINITY_DN3189_c0_g1_i11	At3g23540	1.6e-109	At3g23540
TRINITY_DN3189_c0_g1_i11	At3g23540	1.6e-29	At3g23540
TRINITY_DN12613_c0_g1_i9	At1g03000	3.0e-286	At1g03000
TRINITY_DN36805_c0_g1_i2	At1g63350	1.1e-83	At1g63350
TRINITY_DN23953_c0_g2_i2	At2g13540	9.3e-280	At2g13540
TRINITY_DN4953_c0_g2_i3	At2g03140_2	3.6e-138	At2g03140_2
TRINITY_DN7735_c0_g1_i18	At4g02280	0.0e+00	At4g02280
TRINITY_DN9214_c0_g1_i10	At3g14470	4.9e-79	At3g14470
TRINITY_DN6388_c0_g1_i9	At3g52250	8.9e-81	At3g52250
TRINITY_DN4295_c0_g1_i2	At5g45990	5.6e-168	At5g45990
TRINITY_DN7490_c0_g1_i3	At5g22760	1.0e-249	At5g22760
TRINITY_DN1205_c0_g1_i4	At1g69830_2	2.0e-88	At1g69830_2
TRINITY_DN1205_c0_g1_i4	At1g69830_2	2.2e-71	At1g69830_2
TRINITY_DN1205_c0_g1_i4	At1g69830_2	1.4e-41	At1g69830_2
TRINITY_DN2264_c0_g1_i2	At3g09670	8.7e-44	At3g09670
TRINITY_DN1414_c0_g1_i12	At5g47650	3.1e-57	At5g47650
TRINITY_DN1414_c0_g1_i12	At5g47650	2.6e-24	At5g47650
TRINITY_DN10159_c0_g1_i8	At5g12150	9.3e-163	At5g12150
TRINITY_DN21556_c0_g3_i3	At4g32730	4.8e-119	At4g32730
TRINITY_DN11029_c0_g1_i5	At3g10010	3.4e-157	At3g10010
TRINITY_DN2043_c0_g1_i3	AtCh003	1.7e-116	AtCh003
TRINITY_DN3721_c0_g1_i4	At4g03550	0.0e+00	At4g03550
TRINITY_DN6203_c0_g1_i3	At4g19390	3.9e-36	At4g19390
TRINITY_DN6203_c0_g1_i3	At4g19390	9.4e-06	At4g19390
TRINITY_DN96_c0_g1_i6	At5g51300	1.6e-159	At5g51300
TRINITY_DN19596_c0_g1_i4	At3g60740	0.0e+00	At3g60740
TRINITY_DN19596_c0_g1_i4	At3g60740	2.9e-39	At3g60740
TRINITY_DN2567_c0_g1_i5	At3g23900	3.0e-105	At3g23900
