herb_id	gene	COG_id	COG_evalue	COG_description
110	TRINITY_DN7434_c0_g1_i1	gi|330827056|ref|YP_004390359.1|	1.80E-23	gi|330827056|ref|YP_004390359.1| nuclear protein SET [Alicycliphilus denitrificans K601]
110	TRINITY_DN2356_c0_g1_i3	gi|332982563|ref|YP_004464004.1|	4.80E-64	gi|332982563|ref|YP_004464004.1| raffinose synthase [Mahella australiensis 50-1 BON]
110	TRINITY_DN42346_c0_g2_i6	gi|15838079|ref|NP_298767.1|	1.40E-12	gi|15838079|ref|NP_298767.1| hypothetical protein XF1478 [Xylella fastidiosa 9a5c]
110	TRINITY_DN5841_c0_g1_i8	gi|226228461|ref|YP_002762567.1|	2.10E-16	gi|226228461|ref|YP_002762567.1| putative serine/threonine protein kinase [Gemmatimonas aurantiaca T-27]
110	TRINITY_DN5841_c0_g1_i8	gi|226228461|ref|YP_002762567.1|	1.10E-15	gi|226228461|ref|YP_002762567.1| putative serine/threonine protein kinase [Gemmatimonas aurantiaca T-27]
110	TRINITY_DN5610_c0_g1_i8	gi|148378180|ref|YP_001252721.1|	9.80E-30	gi|148378180|ref|YP_001252721.1| RNA-binding protein [Clostridium botulinum A str. ATCC 3502]
110	TRINITY_DN2402_c0_g1_i4	gi|428225488|ref|YP_007109585.1|	4.20E-57	gi|428225488|ref|YP_007109585.1| amine oxidase [Geitlerinema sp. PCC 7407]
110	TRINITY_DN472_c0_g1_i2	gi|333911635|ref|YP_004485368.1|	5.70E-06	gi|333911635|ref|YP_004485368.1| KH domain-containing protein [Methanotorris igneus Kol 5]
110	TRINITY_DN323_c0_g1_i3	gi|332665710|ref|YP_004448498.1|	1.90E-41	gi|332665710|ref|YP_004448498.1| monooxygenase [Haliscomenobacter hydrossis DSM 1100]
110	TRINITY_DN3823_c0_g1_i2	gi|325281572|ref|YP_004254114.1|	3.30E-70	gi|325281572|ref|YP_004254114.1| ribonuclease R [Odoribacter splanchnicus DSM 220712]
110	TRINITY_DN8163_c0_g1_i1	gi|386714214|ref|YP_006180537.1|	3.40E-11	gi|386714214|ref|YP_006180537.1| serine/threonine protein kinase PrkC [Halobacillus halophilus DSM 2266]
110	TRINITY_DN7169_c0_g1_i1	gi|557694525|ref|YP_008797579.1|	1.80E-52	gi|557694525|ref|YP_008797579.1| DNA-directed RNA polymerase subunit A' [Candidatus Caldiarchaeum subterraneum]
110	TRINITY_DN296_c0_g1_i8	gi|269128898|ref|YP_003302268.1|	3.20E-17	gi|269128898|ref|YP_003302268.1| serine/threonine protein kinase [Thermomonospora curvata DSM 43183]
110	TRINITY_DN7023_c0_g1_i12	gi|478179769|ref|YP_007700842.1|	3.90E-07	gi|478179769|ref|YP_007700842.1| putative IS481 family integrase [Octadecabacter arcticus 238]
110	TRINITY_DN7023_c0_g1_i12	gi|478179769|ref|YP_007700842.1|	3.90E-07	gi|478179769|ref|YP_007700842.1| putative IS481 family integrase [Octadecabacter arcticus 238]
110	TRINITY_DN1106_c0_g1_i5	gi|383455075|ref|YP_005369064.1|	1.30E-39	gi|383455075|ref|YP_005369064.1| polynucleotide Adenyltransferase [Corallococcus coralloides DSM 2259]
110	TRINITY_DN9328_c0_g1_i1	gi|15679629|ref|NP_276746.1|	4.70E-37	gi|15679629|ref|NP_276746.1| transcriptional control factor (enhancer-binding protein) [Methanothermobacter thermautotrophicus str. Delta H]
110	TRINITY_DN8344_c1_g1_i3	gi|428306222|ref|YP_007143047.1|	4.90E-159	gi|428306222|ref|YP_007143047.1| DNA-directed RNA polymerase subunit beta' [Crinalium epipsammum PCC 9333]
110	TRINITY_DN2172_c0_g1_i3	gi|158424497|ref|YP_001525789.1|	9.00E-97	gi|158424497|ref|YP_001525789.1| enoyl-CoA hydratase [Azorhizobium caulinodans ORS 571]
110	TRINITY_DN2172_c0_g1_i3	gi|158424497|ref|YP_001525789.1|	3.60E-69	gi|158424497|ref|YP_001525789.1| enoyl-CoA hydratase [Azorhizobium caulinodans ORS 571]
110	TRINITY_DN2172_c0_g1_i3	gi|158424497|ref|YP_001525789.1|	6.50E-39	gi|158424497|ref|YP_001525789.1| enoyl-CoA hydratase [Azorhizobium caulinodans ORS 571]
110	TRINITY_DN2205_c0_g1_i11	gi|108805550|ref|YP_645487.1|	1.20E-16	gi|108805550|ref|YP_645487.1| aldo/keto reductase [Rubrobacter xylanophilus DSM 9941]
110	TRINITY_DN2205_c0_g1_i11	gi|108805550|ref|YP_645487.1|	4.70E-13	gi|108805550|ref|YP_645487.1| aldo/keto reductase [Rubrobacter xylanophilus DSM 9941]
110	TRINITY_DN12174_c0_g1_i1	gi|188577994|ref|YP_001914923.1|	6.60E-23	gi|188577994|ref|YP_001914923.1| nuclear protein SET [Xanthomonas oryzae pv. oryzae PXO99A]
110	TRINITY_DN742_c0_g2_i2	gi|383766272|ref|YP_005445253.1|	1.80E-214	gi|383766272|ref|YP_005445253.1| alanyl-tRNA synthetase [Phycisphaera mikurensis NBRC 102666]
110	TRINITY_DN1212_c0_g1_i3	gi|433653951|ref|YP_007297659.1|	4.00E-65	"gi|433653951|ref|YP_007297659.1| DNA/RNA helicase, superfamily II, SNF2 family [Thermoanaerobacterium thermosaccharolyticum M0795]"
110	TRINITY_DN12937_c0_g1_i3	gi|209886823|ref|YP_002290680.1|	1.40E-06	gi|209886823|ref|YP_002290680.1| zinc transporter ZitB [Oligotropha carboxidovorans OM5]
110	TRINITY_DN19741_c0_g1_i12	gi|374287823|ref|YP_005034908.1|	9.60E-19	gi|374287823|ref|YP_005034908.1| putative beta-amylase precursor [Bacteriovorax marinus SJ]
110	TRINITY_DN19741_c0_g1_i12	gi|374287823|ref|YP_005034908.1|	9.60E-19	gi|374287823|ref|YP_005034908.1| putative beta-amylase precursor [Bacteriovorax marinus SJ]
110	TRINITY_DN19741_c0_g1_i12	gi|374287823|ref|YP_005034908.1|	7.90E-13	gi|374287823|ref|YP_005034908.1| putative beta-amylase precursor [Bacteriovorax marinus SJ]
110	TRINITY_DN12042_c0_g1_i9	gi|307150901|ref|YP_003886285.1|	9.60E-11	gi|307150901|ref|YP_003886285.1| G-D-S-L family lipolytic protein [Cyanothece sp. PCC 7822]
110	TRINITY_DN24014_c0_g1_i3	gi|15805069|ref|NP_293754.1|	3.60E-66	gi|15805069|ref|NP_293754.1| aminotransferase [Deinococcus radiodurans R1]
110	TRINITY_DN13551_c0_g1_i2	gi|269839544|ref|YP_003324236.1|	1.30E-07	gi|269839544|ref|YP_003324236.1| glycoside hydrolase family protein [Thermobaculum terrenum ATCC BAA-798]
110	TRINITY_DN8619_c0_g1_i5	gi|255530523|ref|YP_003090895.1|	1.90E-11	gi|255530523|ref|YP_003090895.1| 30S ribosomal protein S17 [Pedobacter heparinus DSM 2366]
110	TRINITY_DN1506_c0_g1_i2	gi|159897034|ref|YP_001543281.1|	4.00E-17	gi|159897034|ref|YP_001543281.1| RNA-binding S1 domain-containing protein [Herpetosiphon aurantiacus DSM 785]
110	TRINITY_DN12791_c0_g1_i5	gi|428312618|ref|YP_007123595.1|	2.50E-75	gi|428312618|ref|YP_007123595.1| bacteriophytochrome (light-regulated signal transduction histidine kinase) [Microcoleus sp. PCC 7113]
110	TRINITY_DN257_c0_g2_i1	gi|297567524|ref|YP_003686496.1|	3.10E-30	gi|297567524|ref|YP_003686496.1| MIP family channel protein [Meiothermus silvanus DSM 9946]
110	TRINITY_DN1944_c0_g1_i2	gi|479131984|ref|YP_005071944.1|	2.50E-40	gi|479131984|ref|YP_005071944.1| cyclic nucleotide-binding protein [Arthrospira platensis NIES-39]
110	TRINITY_DN5299_c0_g1_i2	gi|408402779|ref|YP_006860762.1|	3.30E-242	gi|408402779|ref|YP_006860762.1| DNA-directed RNA polymerase subunit A [Candidatus Nitrososphaera gargensis Ga9.2]
110	TRINITY_DN4524_c0_g1_i2	gi|22299394|ref|NP_682641.1|	1.40E-171	gi|22299394|ref|NP_682641.1| preprotein translocase subunit SecA [Thermosynechococcus elongatus BP-1]
110	TRINITY_DN4524_c0_g1_i2	gi|22299394|ref|NP_682641.1|	2.80E-71	gi|22299394|ref|NP_682641.1| preprotein translocase subunit SecA [Thermosynechococcus elongatus BP-1]
110	TRINITY_DN4524_c0_g1_i2	gi|22299394|ref|NP_682641.1|	7.10E-67	gi|22299394|ref|NP_682641.1| preprotein translocase subunit SecA [Thermosynechococcus elongatus BP-1]
110	TRINITY_DN6420_c0_g1_i3	gi|121609491|ref|YP_997298.1|	8.20E-07	gi|121609491|ref|YP_997298.1| integrase catalytic subunit [Verminephrobacter eiseniae EF01-2]
110	TRINITY_DN24423_c1_g1_i3	gi|377809761|ref|YP_005004982.1|	6.00E-18	gi|377809761|ref|YP_005004982.1| ribonuclease III [Pediococcus claussenii ATCC BAA-344]
110	TRINITY_DN14381_c0_g1_i4	gi|312136934|ref|YP_004004271.1|	2.20E-44	gi|312136934|ref|YP_004004271.1| fibronectin-binding a domain-containing protein [Methanothermus fervidus DSM 2088]
110	TRINITY_DN2667_c0_g1_i9	gi|315498636|ref|YP_004087440.1|	2.10E-10	gi|315498636|ref|YP_004087440.1| major facilitator superfamily protein [Asticcacaulis excentricus CB 48]
110	TRINITY_DN5340_c0_g1_i11	gi|158336013|ref|YP_001517187.1|	8.90E-22	gi|158336013|ref|YP_001517187.1| ABC transporter ATP-binding protein [Acaryochloris marina MBIC11017]
110	TRINITY_DN1941_c0_g1_i1	gi|470181905|ref|YP_007567780.1|	2.60E-21	"gi|470181905|ref|YP_007567780.1| RalF protein, translocated into host cells by the Dot/Icm system [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]"
110	TRINITY_DN11868_c0_g1_i1	gi|224373108|ref|YP_002607480.1|	8.80E-38	gi|224373108|ref|YP_002607480.1| putative DNA helicase [Nautilia profundicola AmH]
110	TRINITY_DN3189_c0_g1_i11	gi|347756536|ref|YP_004864099.1|	1.90E-08	gi|347756536|ref|YP_004864099.1| Arabinose efflux permease [Candidatus Chloracidobacterium thermophilum B]
110	TRINITY_DN3189_c0_g1_i11	gi|347756536|ref|YP_004864099.1|	1.90E-08	gi|347756536|ref|YP_004864099.1| Arabinose efflux permease [Candidatus Chloracidobacterium thermophilum B]
110	TRINITY_DN12613_c0_g1_i9	gi|336121507|ref|YP_004576282.1|	2.00E-74	gi|336121507|ref|YP_004576282.1| AAA family ATPase [Methanothermococcus okinawensis IH1]
110	TRINITY_DN36805_c0_g1_i2	gi|158339692|ref|YP_001520699.1|	1.00E-06	gi|158339692|ref|YP_001520699.1| TPR domain-containing protein [Acaryochloris marina MBIC11017]
110	TRINITY_DN4953_c0_g2_i3	gi|436735917|ref|YP_007318045.1|	2.70E-23	gi|436735917|ref|YP_007318045.1| Abortive infection protein [Gloeocapsa sp. PCC 7428]
110	TRINITY_DN7735_c0_g1_i18	gi|292493898|ref|YP_003529337.1|	5.90E-252	gi|292493898|ref|YP_003529337.1| sucrose synthase [Nitrosococcus halophilus Nc 4]
110	TRINITY_DN1205_c0_g1_i4	gi|310819638|ref|YP_003951996.1|	6.50E-33	gi|310819638|ref|YP_003951996.1| alpha-amylase [Stigmatella aurantiaca DW4/3-1]
110	TRINITY_DN1205_c0_g1_i4	gi|310819638|ref|YP_003951996.1|	1.30E-17	gi|310819638|ref|YP_003951996.1| alpha-amylase [Stigmatella aurantiaca DW4/3-1]
110	TRINITY_DN1414_c0_g1_i12	gi|119946752|ref|YP_944432.1|	5.30E-27	gi|119946752|ref|YP_944432.1| ADP-ribose pyrophosphatase [Psychromonas ingrahamii 37]
110	TRINITY_DN11029_c0_g1_i5	gi|269792590|ref|YP_003317494.1|	3.40E-18	gi|269792590|ref|YP_003317494.1| DNA-(apurinic or apyrimidinic site) lyase [Thermanaerovibrio acidaminovorans DSM 6589]
110	TRINITY_DN2043_c0_g1_i3	gi|428316419|ref|YP_007114301.1|	2.80E-12	gi|428316419|ref|YP_007114301.1| SSU ribosomal protein S16P [Oscillatoria nigro-viridis PCC 7112]
110	TRINITY_DN6203_c0_g1_i3	gi|319956755|ref|YP_004168018.1|	5.70E-13	gi|319956755|ref|YP_004168018.1| hypothetical protein Nitsa_1011 [Nitratifractor salsuginis DSM 16511]
110	TRINITY_DN96_c0_g1_i6	gi|385808713|ref|YP_005845109.1|	2.60E-10	gi|385808713|ref|YP_005845109.1| RRM domain RNA-binding protein [Ignavibacterium album JCM 16511]
110	TRINITY_DN2054_c0_g2_i1	gi|470181905|ref|YP_007567780.1|	9.60E-29	"gi|470181905|ref|YP_007567780.1| RalF protein, translocated into host cells by the Dot/Icm system [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]"
110	TRINITY_DN814_c0_g1_i3	gi|427714643|ref|YP_007063267.1|	9.30E-08	gi|427714643|ref|YP_007063267.1| WD40 repeat-containing protein [Synechococcus sp. PCC 6312]
110	TRINITY_DN4472_c0_g1_i6	gi|110634124|ref|YP_674332.1|	3.80E-09	gi|110634124|ref|YP_674332.1| DEAD/DEAH box helicase [Chelativorans sp. BNC1]
110	TRINITY_DN6178_c0_g2_i2	gi|156938218|ref|YP_001436014.1|	1.70E-57	gi|156938218|ref|YP_001436014.1| ATPase AAA [Ignicoccus hospitalis KIN4/I]
110	TRINITY_DN1154_c1_g2_i2	gi|220930899|ref|YP_002507807.1|	6.80E-27	gi|220930899|ref|YP_002507807.1| RNA binding S1 domain-containing protein [Halothermothrix orenii H 168]
110	TRINITY_DN8929_c0_g1_i8	gi|521463102|ref|YP_008150051.1|	2.50E-74	gi|521463102|ref|YP_008150051.1| hypothetical protein SCE1572_18175 [Sorangium cellulosum So0157-2]
110	TRINITY_DN5778_c0_g2_i10	gi|332981568|ref|YP_004463009.1|	8.80E-19	gi|332981568|ref|YP_004463009.1| serine/threonine protein kinase with PASTA sensor(s) [Mahella australiensis 50-1 BON]
110	TRINITY_DN10898_c0_g2_i2	gi|428306539|ref|YP_007143364.1|	0.00E+00	gi|428306539|ref|YP_007143364.1| glutamate synthase (ferredoxin) [Crinalium epipsammum PCC 9333]
110	TRINITY_DN9138_c0_g2_i4	gi|557694525|ref|YP_008797579.1|	1.20E-95	gi|557694525|ref|YP_008797579.1| DNA-directed RNA polymerase subunit A' [Candidatus Caldiarchaeum subterraneum]
110	TRINITY_DN9138_c0_g2_i4	gi|557694525|ref|YP_008797579.1|	4.80E-17	gi|557694525|ref|YP_008797579.1| DNA-directed RNA polymerase subunit A' [Candidatus Caldiarchaeum subterraneum]
110	TRINITY_DN9138_c0_g2_i4	gi|557694525|ref|YP_008797579.1|	4.80E-17	gi|557694525|ref|YP_008797579.1| DNA-directed RNA polymerase subunit A' [Candidatus Caldiarchaeum subterraneum]
110	TRINITY_DN4892_c0_g1_i2	gi|383316103|ref|YP_005376945.1|	3.00E-11	gi|383316103|ref|YP_005376945.1| SET domain-containing protein [Frateuria aurantia DSM 6220]
110	TRINITY_DN1720_c0_g1_i9	gi|158336725|ref|YP_001517899.1|	8.50E-06	gi|158336725|ref|YP_001517899.1| DNA-directed RNA polymerase subunit gamma [Acaryochloris marina MBIC11017]
110	TRINITY_DN344_c0_g1_i6	gi|288931147|ref|YP_003435207.1|	6.70E-104	gi|288931147|ref|YP_003435207.1| DNA-directed RNA polymerase subunit B [Ferroglobus placidus DSM 10642]
110	TRINITY_DN414_c0_g1_i11	gi|311108868|ref|YP_003981721.1|	8.10E-33	gi|311108868|ref|YP_003981721.1| phospholipase D [Achromobacter xylosoxidans A8]
110	TRINITY_DN1458_c0_g1_i5	gi|521462974|ref|YP_008149897.1|	1.20E-39	gi|521462974|ref|YP_008149897.1| hypothetical protein SCE1572_17400 [Sorangium cellulosum So0157-2]
110	TRINITY_DN14642_c0_g1_i6	gi|298675626|ref|YP_003727376.1|	6.80E-56	gi|298675626|ref|YP_003727376.1| DNA polymerase Pol2 [Methanohalobium evestigatum Z-7303]
110	TRINITY_DN40197_c0_g1_i3	gi|291278588|ref|YP_003495423.1|	1.80E-16	gi|291278588|ref|YP_003495423.1| ribonuclease III [Deferribacter desulfuricans SSM1]
110	TRINITY_DN7131_c0_g1_i14	gi|557694380|ref|YP_008797434.1|	3.30E-18	gi|557694380|ref|YP_008797434.1| helicase-associated endonuclease for fork-structured DNA [Candidatus Caldiarchaeum subterraneum]
110	TRINITY_DN4288_c0_g1_i3	gi|434387174|ref|YP_007097785.1|	1.30E-94	gi|434387174|ref|YP_007097785.1| copper/silver-translocating P-type ATPase [Chamaesiphon minutus PCC 6605]
110	TRINITY_DN4288_c0_g1_i3	gi|434387174|ref|YP_007097785.1|	2.30E-40	gi|434387174|ref|YP_007097785.1| copper/silver-translocating P-type ATPase [Chamaesiphon minutus PCC 6605]
110	TRINITY_DN5515_c0_g1_i15	gi|434389466|ref|YP_007100077.1|	5.90E-44	gi|434389466|ref|YP_007100077.1| protease II [Chamaesiphon minutus PCC 6605]
110	TRINITY_DN5515_c0_g1_i15	gi|434389466|ref|YP_007100077.1|	4.10E-29	gi|434389466|ref|YP_007100077.1| protease II [Chamaesiphon minutus PCC 6605]
