gene	pfam_id	pfam_evalue	pfam_description
TRINITY_DN1978_c0_g1_i13	M0U937_MUSAM/407-542	2.4e-63	M0U937_MUSAM/407-542 M0U937.1 PF07744.12;SPOC;
TRINITY_DN1978_c0_g1_i13	M0U937_MUSAM/407-542	2.4e-63	M0U937_MUSAM/407-542 M0U937.1 PF07744.12;SPOC;
TRINITY_DN10943_c0_g1_i1	M0SLJ4_MUSAM/422-788	4.7e-144	M0SLJ4_MUSAM/422-788 M0SLJ4.1 PF06025.11;DUF913;
TRINITY_DN2326_c0_g1_i2	A0A061FU76_THECC/318-368	3.1e-15	A0A061FU76_THECC/318-368 A0A061FU76.1 PF08711.10;Med26;
TRINITY_DN2326_c0_g1_i2	A0A061FU76_THECC/318-368	3.1e-15	A0A061FU76_THECC/318-368 A0A061FU76.1 PF08711.10;Med26;
TRINITY_DN4590_c0_g1_i3	K7VEE8_MAIZE/337-415	5.7e-17	K7VEE8_MAIZE/337-415 K7VEE8.1 PF08620.9;RPAP1_C;
TRINITY_DN30040_c0_g1_i11	W1PY80_AMBTC/2096-2484	3.6e-165	W1PY80_AMBTC/2096-2484 W1PY80.1 PF12166.7;Piezo_RRas_bdg;
TRINITY_DN107_c1_g3_i2	F6GYN3_VITVI/21-923	2.2e-247	F6GYN3_VITVI/21-923 F6GYN3.1 PF05758.11;Ycf1;
TRINITY_DN1198_c0_g1_i9	M0URR7_HORVD/99-288	9.7e-86	M0URR7_HORVD/99-288 M0URR7.1 PF12348.7;CLASP_N;
TRINITY_DN15711_c0_g3_i2	M7ZJ96_TRIUA/146-452	6.0e-96	M7ZJ96_TRIUA/146-452 M7ZJ96.1 PF00361.19;Proton_antipo_M;
TRINITY_DN15711_c0_g3_i2	M7ZJ96_TRIUA/146-452	4.4e-54	M7ZJ96_TRIUA/146-452 M7ZJ96.1 PF00361.19;Proton_antipo_M;
TRINITY_DN4300_c0_g1_i13	M0RGE0_MUSAM/676-820	1.5e-59	M0RGE0_MUSAM/676-820 M0RGE0.1 PF12807.6;eIF3_p135;
TRINITY_DN4300_c0_g1_i13	M0RGE0_MUSAM/676-820	1.5e-59	M0RGE0_MUSAM/676-820 M0RGE0.1 PF12807.6;eIF3_p135;
TRINITY_DN4498_c0_g1_i2	A0A0D2R7H7_GOSRA/3177-3496	2.5e-94	A0A0D2R7H7_GOSRA/3177-3496 A0A0D2R7H7.1 PF06650.11;SHR-BD;
TRINITY_DN5761_c0_g1_i2	M0RFX8_MUSAM/1367-1568	1.4e-86	M0RFX8_MUSAM/1367-1568 M0RFX8.1 PF06957.10;COPI_C;
TRINITY_DN5761_c0_g1_i2	M0RFX8_MUSAM/1367-1568	1.4e-86	M0RFX8_MUSAM/1367-1568 M0RFX8.1 PF06957.10;COPI_C;
TRINITY_DN1636_c0_g1_i2	M0SF31_MUSAM/160-455	2.7e-154	M0SF31_MUSAM/160-455 M0SF31.1 PF00393.18;6PGD;
TRINITY_DN0_c0_g1_i4	M0U573_MUSAM/516-567	7.8e-21	M0U573_MUSAM/516-567 M0U573.1 PF02213.15;GYF;
TRINITY_DN0_c0_g1_i4	M0U573_MUSAM/516-567	7.8e-21	M0U573_MUSAM/516-567 M0U573.1 PF02213.15;GYF;
TRINITY_DN6099_c0_g2_i1	M0RP85_MUSAM/1881-2157	8.5e-153	M0RP85_MUSAM/1881-2157 M0RP85.1 PF02138.17;Beach;
TRINITY_DN3635_c0_g1_i1	I1NWZ0_ORYGL/85-133	1.7e-20	I1NWZ0_ORYGL/85-133 I1NWZ0.1 PF12906.6;RINGv;
TRINITY_DN3635_c0_g1_i1	I1NWZ0_ORYGL/85-133	1.7e-20	I1NWZ0_ORYGL/85-133 I1NWZ0.1 PF12906.6;RINGv;
TRINITY_DN262_c0_g1_i13	M0RZW1_MUSAM/216-429	3.4e-101	M0RZW1_MUSAM/216-429 M0RZW1.1 PF01061.23;ABC2_membrane;
TRINITY_DN2326_c0_g1_i4	A0A061FU76_THECC/318-368	2.7e-15	A0A061FU76_THECC/318-368 A0A061FU76.1 PF08711.10;Med26;
TRINITY_DN13921_c0_g1_i7	A0A0B0PG98_GOSAR/199-374	2.0e-76	A0A0B0PG98_GOSAR/199-374 A0A0B0PG98.1 PF04053.13;Coatomer_WDAD;
TRINITY_DN13921_c0_g1_i7	A0A0B0PG98_GOSAR/199-374	2.0e-76	A0A0B0PG98_GOSAR/199-374 A0A0B0PG98.1 PF04053.13;Coatomer_WDAD;
TRINITY_DN10382_c0_g1_i8	U5CW43_AMBTC/1967-2528	9.7e-220	U5CW43_AMBTC/1967-2528 U5CW43.1 PF10351.8;Apt1;
TRINITY_DN10403_c0_g1_i1	M0TH71_MUSAM/4-288	1.2e-140	M0TH71_MUSAM/4-288 M0TH71.1 PF14649.5;Spatacsin_C;
TRINITY_DN3559_c1_g1_i7	A0A0D2S9U4_GOSRA/1222-1324	4.8e-46	A0A0D2S9U4_GOSRA/1222-1324 A0A0D2S9U4.1 PF01909.22;NTP_transf_2;
TRINITY_DN7558_c0_g2_i1	M0TVY4_MUSAM/1700-1936	5.2e-109	M0TVY4_MUSAM/1700-1936 M0TVY4.1 PF06650.11;SHR-BD;
TRINITY_DN10572_c0_g1_i8	M0RNK5_MUSAM/65-230	1.6e-78	M0RNK5_MUSAM/65-230 M0RNK5.1 PF00009.26;GTP_EFTU;
TRINITY_DN3562_c0_g1_i3	A0A194YGK5_SORBI/224-832	1.6e-163	A0A194YGK5_SORBI/224-832 A0A194YGK5.1 PF00176.22;SNF2_N;
TRINITY_DN5023_c0_g3_i2	M0SU29_MUSAM/139-1045	4.4e-177	M0SU29_MUSAM/139-1045 M0SU29.1 PF05904.10;DUF863;
TRINITY_DN5023_c0_g3_i2	M0SU29_MUSAM/139-1045	4.4e-177	M0SU29_MUSAM/139-1045 M0SU29.1 PF05904.10;DUF863;
TRINITY_DN1780_c0_g1_i7	M0SA37_MUSAM/42-167	7.6e-57	M0SA37_MUSAM/42-167 M0SA37.1 PF01138.20;RNase_PH;
TRINITY_DN667_c0_g2_i2	I1NM71_ORYGL/28-468	1.4e-74	I1NM71_ORYGL/28-468 I1NM71.1 PF01080.16;Presenilin;
TRINITY_DN667_c0_g2_i2	I1NM71_ORYGL/28-468	7.6e-09	I1NM71_ORYGL/28-468 I1NM71.1 PF01080.16;Presenilin;
TRINITY_DN25296_c0_g1_i1	M0TKG8_MUSAM/103-281	1.2e-78	M0TKG8_MUSAM/103-281 M0TKG8.1 PF02194.14;PXA;
TRINITY_DN2750_c1_g1_i2	M0SLY3_MUSAM/14-87	1.9e-31	M0SLY3_MUSAM/14-87 M0SLY3.1 PF07765.11;KIP1;
TRINITY_DN7727_c0_g2_i3	M0TKC3_MUSAM/744-1384	4.2e-262	M0TKC3_MUSAM/744-1384 M0TKC3.1 PF12234.7;Rav1p_C;
TRINITY_DN696_c0_g1_i5	W1NTW2_AMBTC/1330-1553	8.3e-101	W1NTW2_AMBTC/1330-1553 W1NTW2.1 PF02854.18;MIF4G;
TRINITY_DN6571_c0_g1_i1	J3NCB9_ORYBR/581-1264	5.4e-225	J3NCB9_ORYBR/581-1264 J3NCB9.1 PF08314.10;Sec39;
TRINITY_DN7319_c0_g4_i4	M0SJ91_MUSAM/2036-2313	4.2e-137	M0SJ91_MUSAM/2036-2313 M0SJ91.1 PF00454.26;PI3_PI4_kinase;
TRINITY_DN2599_c0_g1_i1	M0TMD6_MUSAM/2-125	2.6e-30	M0TMD6_MUSAM/2-125 M0TMD6.1 PF09750.8;DRY_EERY;
TRINITY_DN1425_c0_g1_i4	M0TY99_MUSAM/549-867	3.5e-152	M0TY99_MUSAM/549-867 M0TY99.1 PF01326.18;PPDK_N;
TRINITY_DN1425_c0_g1_i4	M0TY99_MUSAM/549-867	3.0e-151	M0TY99_MUSAM/549-867 M0TY99.1 PF01326.18;PPDK_N;
TRINITY_DN3386_c1_g2_i1	M0SK54_MUSAM/1440-1806	2.2e-183	M0SK54_MUSAM/1440-1806 M0SK54.1 PF02259.22;FAT;
TRINITY_DN4339_c0_g1_i4	M0RIY5_MUSAM/191-370	1.3e-69	M0RIY5_MUSAM/191-370 M0RIY5.1 PF01764.24;Lipase_3;
TRINITY_DN4982_c0_g1_i6	M0TA35_MUSAM/1750-1850	2.1e-48	M0TA35_MUSAM/1750-1850 M0TA35.1 PF00168.29;C2;
TRINITY_DN1854_c0_g1_i5	M0RFN9_MUSAM/212-414	4.6e-19	M0RFN9_MUSAM/212-414 M0RFN9.1 PF12896.6;ANAPC4;
TRINITY_DN17928_c0_g1_i9	M0T4U0_MUSAM/206-502	9.0e-100	M0T4U0_MUSAM/206-502 M0T4U0.1 PF02475.15;Met_10;
TRINITY_DN17928_c0_g1_i9	M0T4U0_MUSAM/206-502	1.9e-04	M0T4U0_MUSAM/206-502 M0T4U0.1 PF02475.15;Met_10;
TRINITY_DN6287_c0_g2_i4	M0RJH5_MUSAM/762-1510	0.0e+00	M0RJH5_MUSAM/762-1510 M0RJH5.1 PF08326.11;ACC_central;
TRINITY_DN4907_c0_g1_i3	M0RTE3_MUSAM/1374-1849	1.3e-199	M0RTE3_MUSAM/1374-1849 M0RTE3.1 PF00856.27;SET;
TRINITY_DN9687_c0_g1_i10	M0TXN4_MUSAM/10-298	2.3e-95	M0TXN4_MUSAM/10-298 M0TXN4.1 PF03151.15;TPT;
TRINITY_DN9687_c0_g1_i10	M0TXN4_MUSAM/10-298	1.4e-25	M0TXN4_MUSAM/10-298 M0TXN4.1 PF03151.15;TPT;
TRINITY_DN11310_c0_g1_i11	M0RKP2_MUSAM/723-1057	1.4e-153	M0RKP2_MUSAM/723-1057 M0RKP2.1 PF16653.4;Sacchrp_dh_C;
TRINITY_DN11310_c0_g1_i11	M0RKP2_MUSAM/723-1057	7.9e-125	M0RKP2_MUSAM/723-1057 M0RKP2.1 PF16653.4;Sacchrp_dh_C;
TRINITY_DN9413_c0_g3_i6	U5CYW5_AMBTC/18-657	0.0e+00	U5CYW5_AMBTC/18-657 U5CYW5.1 PF00133.21;tRNA-synt_1;
TRINITY_DN7042_c0_g1_i5	D8SJG5_SELML/462-1095	6.0e-282	D8SJG5_SELML/462-1095 D8SJG5.1 PF00136.20;DNA_pol_B;
TRINITY_DN9088_c0_g1_i2	M0SA86_MUSAM/392-724	4.7e-85	M0SA86_MUSAM/392-724 M0SA86.1 PF01504.17;PIP5K;
TRINITY_DN9088_c0_g1_i2	M0SA86_MUSAM/392-724	5.4e-57	M0SA86_MUSAM/392-724 M0SA86.1 PF01504.17;PIP5K;
TRINITY_DN4855_c0_g1_i4	A0A067GF87_CITSI/759-1049	4.9e-151	A0A067GF87_CITSI/759-1049 A0A067GF87.1 PF00176.22;SNF2_N;
TRINITY_DN4086_c0_g2_i9	M0SZ32_MUSAM/183-772	3.8e-196	M0SZ32_MUSAM/183-772 M0SZ32.1 PF02364.14;Glucan_synthase;
TRINITY_DN4086_c0_g2_i9	M0SZ32_MUSAM/183-772	2.4e-73	M0SZ32_MUSAM/183-772 M0SZ32.1 PF02364.14;Glucan_synthase;
TRINITY_DN1431_c0_g1_i3	V4U597_9ROSI/443-504	9.0e-12	V4U597_9ROSI/443-504 V4U597.1 PF13855.5;LRR_8;
TRINITY_DN13350_c0_g1_i7	M0T3M3_MUSAM/16-227	3.3e-46	M0T3M3_MUSAM/16-227 M0T3M3.1 PF08167.11;RIX1;
TRINITY_DN13350_c0_g1_i7	M0T3M3_MUSAM/16-227	3.3e-46	M0T3M3_MUSAM/16-227 M0T3M3.1 PF08167.11;RIX1;
TRINITY_DN1933_c0_g2_i9	A0A1B6PN77_SORBI/276-465	3.3e-22	A0A1B6PN77_SORBI/276-465 A0A1B6PN77.1 PF11721.7;Malectin;
TRINITY_DN64_c0_g2_i3	M0RYS0_MUSAM/687-743	9.8e-19	M0RYS0_MUSAM/687-743 M0RYS0.1 PF01846.18;FF;
TRINITY_DN936_c0_g1_i9	M0SRX6_MUSAM/105-206	1.3e-52	M0SRX6_MUSAM/105-206 M0SRX6.1 PF00355.25;Rieske;
TRINITY_DN7788_c0_g1_i1	M0TKD6_MUSAM/106-541	1.1e-237	M0TKD6_MUSAM/106-541 M0TKD6.1 PF00310.20;GATase_2;
TRINITY_DN117_c0_g1_i5	M0S1D6_MUSAM/1058-1244	1.5e-88	M0S1D6_MUSAM/1058-1244 M0S1D6.1 PF12816.6;Vps8;
TRINITY_DN4329_c0_g1_i1	D8UDD4_VOLCA/254-660	2.6e-226	D8UDD4_VOLCA/254-660 D8UDD4.1 PF08083.10;PROCN;
TRINITY_DN14399_c0_g1_i8	M0U0T5_MUSAM/156-429	3.8e-140	M0U0T5_MUSAM/156-429 M0U0T5.1 PF00069.24;Pkinase;
TRINITY_DN32289_c0_g3_i13	M0S0Z4_MUSAM/615-737	2.5e-67	M0S0Z4_MUSAM/615-737 M0S0Z4.1 PF13832.5;zf-HC5HC2H_2;
TRINITY_DN32289_c0_g3_i13	M0S0Z4_MUSAM/615-737	2.5e-67	M0S0Z4_MUSAM/615-737 M0S0Z4.1 PF13832.5;zf-HC5HC2H_2;
TRINITY_DN5090_c0_g2_i1	M0SS88_MUSAM/159-221	5.8e-24	M0SS88_MUSAM/159-221 M0SS88.1 PF09497.9;Med12;
TRINITY_DN23693_c0_g1_i15	M0SZ87_MUSAM/85-359	1.0e-100	M0SZ87_MUSAM/85-359 M0SZ87.1 PF00780.21;CNH;
TRINITY_DN1938_c0_g2_i5	M0U704_MUSAM/4-173	4.7e-66	M0U704_MUSAM/4-173 M0U704.1 PF01107.17;MP;
TRINITY_DN3792_c0_g1_i3	A0A0D3B6Y2_BRAOL/930-1265	1.9e-168	A0A0D3B6Y2_BRAOL/930-1265 A0A0D3B6Y2.1 PF00176.22;SNF2_N;
TRINITY_DN53538_c0_g1_i1	M5XGZ7_PRUPE/621-1739	0.0e+00	M5XGZ7_PRUPE/621-1739 M5XGZ7.1 PF14228.5;MOR2-PAG1_mid;
TRINITY_DN17194_c0_g3_i2	M0T6F8_MUSAM/867-1181	2.0e-165	M0T6F8_MUSAM/867-1181 M0T6F8.1 PF00632.24;HECT;
TRINITY_DN17194_c0_g3_i2	M0T6F8_MUSAM/867-1181	2.0e-165	M0T6F8_MUSAM/867-1181 M0T6F8.1 PF00632.24;HECT;
TRINITY_DN4541_c0_g1_i6	M0TI39_MUSAM/44-652	5.5e-277	M0TI39_MUSAM/44-652 M0TI39.1 PF00995.22;Sec1;
TRINITY_DN4541_c0_g1_i6	M0TI39_MUSAM/44-652	2.1e-18	M0TI39_MUSAM/44-652 M0TI39.1 PF00995.22;Sec1;
TRINITY_DN9015_c0_g1_i8	A0A0D9VMW0_9ORYZ/217-651	8.6e-113	A0A0D9VMW0_9ORYZ/217-651 A0A0D9VMW0.1 PF10220.8;Smg8_Smg9;
TRINITY_DN252_c0_g1_i1	M0U2L0_MUSAM/153-434	9.1e-147	M0U2L0_MUSAM/153-434 M0U2L0.1 PF00862.18;Sucrose_synth;
TRINITY_DN252_c0_g1_i1	M0U2L0_MUSAM/153-434	9.1e-147	M0U2L0_MUSAM/153-434 M0U2L0.1 PF00862.18;Sucrose_synth;
TRINITY_DN3792_c0_g2_i3	A0A0D3B6Y2_BRAOL/930-1265	4.5e-170	A0A0D3B6Y2_BRAOL/930-1265 A0A0D3B6Y2.1 PF00176.22;SNF2_N;
TRINITY_DN3957_c0_g2_i7	U5FUW7_POPTR/20-355	2.3e-81	U5FUW7_POPTR/20-355 U5FUW7.1 PF00724.19;Oxidored_FMN;
TRINITY_DN3957_c0_g2_i7	U5FUW7_POPTR/20-355	3.3e-80	U5FUW7_POPTR/20-355 U5FUW7.1 PF00724.19;Oxidored_FMN;
TRINITY_DN3957_c0_g2_i7	U5FUW7_POPTR/20-355	1.8e-78	U5FUW7_POPTR/20-355 U5FUW7.1 PF00724.19;Oxidored_FMN;
TRINITY_DN3957_c0_g2_i7	U5FUW7_POPTR/20-355	4.2e-11	U5FUW7_POPTR/20-355 U5FUW7.1 PF00724.19;Oxidored_FMN;
TRINITY_DN12761_c0_g1_i15	M0RH34_MUSAM/680-877	1.4e-91	M0RH34_MUSAM/680-877 M0RH34.1 PF02862.16;DDHD;
TRINITY_DN12761_c0_g1_i15	M0RH34_MUSAM/680-877	1.4e-91	M0RH34_MUSAM/680-877 M0RH34.1 PF02862.16;DDHD;
TRINITY_DN5541_c1_g1_i23	M0T718_MUSAM/147-466	9.5e-72	M0T718_MUSAM/147-466 M0T718.1 PF03151.15;TPT;
TRINITY_DN5541_c1_g1_i23	M0T718_MUSAM/147-466	7.1e-51	M0T718_MUSAM/147-466 M0T718.1 PF03151.15;TPT;
TRINITY_DN2482_c0_g1_i6	M0SY75_MUSAM/2633-2699	4.6e-18	M0SY75_MUSAM/2633-2699 M0SY75.1 PF05641.11;Agenet;
TRINITY_DN301_c0_g2_i1	A0A0J8CH03_BETVU/5-191	1.3e-68	A0A0J8CH03_BETVU/5-191 A0A0J8CH03.1 PF15912.4;VIR_N;
TRINITY_DN4508_c0_g1_i11	C5WQ41_SORBI/37-257	7.5e-77	C5WQ41_SORBI/37-257 C5WQ41.1 PF03114.17;BAR;
TRINITY_DN7711_c0_g1_i1	M0SSL2_MUSAM/799-1244	2.4e-200	M0SSL2_MUSAM/799-1244 M0SSL2.1 PF12054.7;DUF3535;
TRINITY_DN5536_c0_g1_i2	M0SIY6_MUSAM/905-1205	9.8e-162	M0SIY6_MUSAM/905-1205 M0SIY6.1 PF02889.15;Sec63;
TRINITY_DN424_c0_g1_i1	M0TQ45_MUSAM/308-398	1.1e-40	M0TQ45_MUSAM/308-398 M0TQ45.1 PF12763.6;EF-hand_4;
TRINITY_DN24547_c0_g1_i2	M0RLP6_MUSAM/214-543	6.7e-179	M0RLP6_MUSAM/214-543 M0RLP6.1 PF00676.19;E1_dh;
TRINITY_DN6198_c0_g1_i7	M0T6Y1_MUSAM/79-399	3.8e-134	M0T6Y1_MUSAM/79-399 M0T6Y1.1 PF00520.30;Ion_trans;
TRINITY_DN940_c1_g1_i9	B9SPI3_RICCO/1191-1469	6.3e-129	B9SPI3_RICCO/1191-1469 B9SPI3.1 PF01326.18;PPDK_N;
TRINITY_DN18432_c0_g1_i4	B9SDB1_RICCO/7-99	5.7e-29	B9SDB1_RICCO/7-99 B9SDB1.1 PF01834.15;XRCC1_N;
TRINITY_DN41539_c0_g1_i19	M0T359_MUSAM/144-311	1.3e-78	M0T359_MUSAM/144-311 M0T359.1 PF13328.5;HD_4;
TRINITY_DN41539_c0_g1_i19	M0T359_MUSAM/144-311	1.3e-78	M0T359_MUSAM/144-311 M0T359.1 PF13328.5;HD_4;
TRINITY_DN5356_c0_g1_i14	M0U212_MUSAM/13-325	9.2e-88	M0U212_MUSAM/13-325 M0U212.1 PF08429.10;PLU-1;
TRINITY_DN3352_c0_g1_i3	A0A067GV88_CITSI/20-82	7.9e-23	A0A067GV88_CITSI/20-82 A0A067GV88.1 PF00226.30;DnaJ;
TRINITY_DN3676_c0_g1_i3	I1P8M6_ORYGL/605-837	8.0e-68	I1P8M6_ORYGL/605-837 I1P8M6.1 PF10441.8;Urb2;
TRINITY_DN7433_c0_g1_i8	M0V2Y5_HORVD/27-142	1.4e-43	M0V2Y5_HORVD/27-142 M0V2Y5.1 PF01217.19;Clat_adaptor_s;
TRINITY_DN6674_c0_g1_i1	S8CLP0_9LAMI/30-200	7.0e-56	S8CLP0_9LAMI/30-200 S8CLP0.1 PF00730.24;HhH-GPD;
TRINITY_DN4647_c0_g1_i1	M0TGZ5_MUSAM/1296-1968	2.3e-309	M0TGZ5_MUSAM/1296-1968 M0TGZ5.1 PF06333.11;Med13_C;
TRINITY_DN320_c0_g1_i4	A0A061ESZ0_THECC/118-185	1.5e-34	A0A061ESZ0_THECC/118-185 A0A061ESZ0.1 PF02207.19;zf-UBR;
TRINITY_DN18105_c0_g1_i3	M0RPF0_MUSAM/716-886	7.7e-47	M0RPF0_MUSAM/716-886 M0RPF0.1 PF08146.11;BP28CT;
TRINITY_DN8087_c0_g1_i1	M0TTD9_MUSAM/1946-2046	2.6e-50	M0TTD9_MUSAM/1946-2046 M0TTD9.1 PF00168.29;C2;
TRINITY_DN7907_c0_g2_i1	A0A151RB09_CAJCA/65-246	2.8e-89	A0A151RB09_CAJCA/65-246 A0A151RB09.1 PF00078.26;RVT_1;
TRINITY_DN8477_c0_g2_i4	M0T1S0_MUSAM/8-371	1.0e-123	M0T1S0_MUSAM/8-371 M0T1S0.1 PF01566.17;Nramp;
TRINITY_DN8477_c0_g2_i4	M0T1S0_MUSAM/8-371	1.1e-48	M0T1S0_MUSAM/8-371 M0T1S0.1 PF01566.17;Nramp;
TRINITY_DN9584_c0_g1_i7	A0A061EZ88_THECC/49-330	6.7e-160	A0A061EZ88_THECC/49-330 A0A061EZ88.1 PF00176.22;SNF2_N;
TRINITY_DN1572_c1_g1_i3	S8D424_9LAMI/150-365	1.2e-108	S8D424_9LAMI/150-365 S8D424.1 PF00006.24;ATP-synt_ab;
TRINITY_DN2628_c0_g1_i8	M0RRW4_MUSAM/1055-1120	2.5e-29	M0RRW4_MUSAM/1055-1120 M0RRW4.1 PF13921.5;Myb_DNA-bind_6;
TRINITY_DN6333_c0_g1_i2	M0T4Y2_MUSAM/13-123	2.0e-42	M0T4Y2_MUSAM/13-123 M0T4Y2.1 PF12624.6;Chorein_N;
TRINITY_DN7434_c0_g1_i1	M0U8F6_MUSAM/1022-1128	6.5e-54	M0U8F6_MUSAM/1022-1128 M0U8F6.1 PF00856.27;SET;
TRINITY_DN2356_c0_g1_i3	M0TCV6_MUSAM/7-743	0.0e+00	M0TCV6_MUSAM/7-743 M0TCV6.1 PF05691.11;Raffinose_syn;
TRINITY_DN1626_c0_g1_i4	A0A0B0ND82_GOSAR/1040-1168	2.6e-31	A0A0B0ND82_GOSAR/1040-1168 A0A0B0ND82.1 PF07926.11;TPR_MLP1_2;
TRINITY_DN2163_c0_g1_i5	W1NFK2_AMBTC/153-288	1.9e-29	W1NFK2_AMBTC/153-288 W1NFK2.1 PF04012.11;PspA_IM30;
TRINITY_DN2163_c0_g1_i5	W1NFK2_AMBTC/153-288	1.9e-29	W1NFK2_AMBTC/153-288 W1NFK2.1 PF04012.11;PspA_IM30;
TRINITY_DN7458_c0_g1_i6	A0A0A0LTZ2_CUCSA/502-648	2.7e-36	A0A0A0LTZ2_CUCSA/502-648 A0A0A0LTZ2.1 PF13671.5;AAA_33;
TRINITY_DN3266_c0_g1_i1	A0A151SHJ6_CAJCA/38-141	3.0e-11	A0A151SHJ6_CAJCA/38-141 A0A151SHJ6.1 PF00665.25;rve;
TRINITY_DN5095_c0_g1_i10	A0A0B2S142_GLYSO/177-790	3.6e-174	A0A0B2S142_GLYSO/177-790 A0A0B2S142.1 PF03343.12;SART-1;
TRINITY_DN42346_c0_g2_i6	I1IAH5_BRADI/1140-1407	1.3e-118	I1IAH5_BRADI/1140-1407 I1IAH5.1 PF00856.27;SET;
TRINITY_DN49_c0_g2_i3	M0S011_MUSAM/301-1106	0.0e+00	M0S011_MUSAM/301-1106 M0S011.1 PF02364.14;Glucan_synthase;
TRINITY_DN2210_c0_g1_i6	M0TKU1_MUSAM/41-157	3.1e-32	M0TKU1_MUSAM/41-157 M0TKU1.1 PF02365.14;NAM;
TRINITY_DN2210_c0_g1_i6	M0TKU1_MUSAM/41-157	2.3e-11	M0TKU1_MUSAM/41-157 M0TKU1.1 PF02365.14;NAM;
TRINITY_DN14152_c0_g1_i2	M0TW98_MUSAM/116-494	1.5e-111	M0TW98_MUSAM/116-494 M0TW98.1 PF00854.20;PTR2;
TRINITY_DN5841_c0_g1_i8	A0A0D9YVC1_9ORYZ/540-812	3.0e-96	A0A0D9YVC1_9ORYZ/540-812 A0A0D9YVC1.1 PF00069.24;Pkinase;
TRINITY_DN5841_c0_g1_i8	A0A0D9YVC1_9ORYZ/540-812	1.5e-95	A0A0D9YVC1_9ORYZ/540-812 A0A0D9YVC1.1 PF00069.24;Pkinase;
TRINITY_DN10746_c0_g1_i1	M0TGQ4_MUSAM/10-145	1.2e-60	M0TGQ4_MUSAM/10-145 M0TGQ4.1 PF10358.8;NT-C2;
