gene	kegg_id	kegg_evalue	kegg_description
TRINITY_DN3635_c0_g1_i1	pxb:103938046	1.3e-12	pxb:103938046 E3 ubiquitin-protein ligase MARCH2-like; K10656 E3 ubiquitin-protein ligase MARCH1/8 [EC:2.3.2.27]
TRINITY_DN3635_c0_g1_i1	pxb:103938046	6.3e-07	pxb:103938046 E3 ubiquitin-protein ligase MARCH2-like; K10656 E3 ubiquitin-protein ligase MARCH1/8 [EC:2.3.2.27]
TRINITY_DN3635_c0_g1_i1	pxb:103938046	6.3e-07	pxb:103938046 E3 ubiquitin-protein ligase MARCH2-like; K10656 E3 ubiquitin-protein ligase MARCH1/8 [EC:2.3.2.27]
TRINITY_DN262_c0_g1_i13	olu:OSTLU_38326	3.8e-44	olu:OSTLU_38326 ABC(ABCG) family transporter: multidrug; K05681 ATP-binding cassette, subfamily G (WHITE), member 2
TRINITY_DN10403_c0_g1_i1	mus:103991571	0.0e+00	mus:103991571 uncharacterized protein LOC103991571 isoform X1; K19026 spatacsin
TRINITY_DN3559_c1_g1_i7	dosa:Os06t0669275-00	4.0e-85	dosa:Os06t0669275-00 Os06g0669275; Similar to MEE44 (maternal effect embryo arrest 44); nucleotidyltransferase.; K03514 non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19]
TRINITY_DN7558_c0_g2_i1	atr:18430385	0.0e+00	atr:18430385 uncharacterized LOC18430385; K19525 vacuolar protein sorting-associated protein 13A/C
TRINITY_DN10572_c0_g1_i8	mus:103970166	0.0e+00	mus:103970166 translation initiation factor IF-2, mitochondrial; K02519 translation initiation factor IF-2
TRINITY_DN3562_c0_g1_i3	egu:105033425	0.0e+00	egu:105033425 uncharacterized LOC105033425; K11643 chromodomain-helicase-DNA-binding protein 4 [EC:3.6.4.12]
TRINITY_DN1780_c0_g1_i7	mus:103976728	2.5e-113	mus:103976728 exosome complex component MTR3; K12587 exosome complex component MTR3
TRINITY_DN667_c0_g2_i2	mus:103984394	0.0e+00	mus:103984394 uncharacterized protein LOC103984394; K14317 nuclear pore complex protein Nup214
TRINITY_DN25296_c0_g1_i1	mus:103992762	0.0e+00	mus:103992762 uncharacterized protein LOC103992762 isoform X1; K17925 sorting nexin-13
TRINITY_DN2750_c1_g1_i2	atr:18432364	4.0e-26	atr:18432364 nuclear-pore anchor; K09291 nucleoprotein TPR
TRINITY_DN696_c0_g1_i5	mus:103971734	0.0e+00	mus:103971734 eukaryotic translation initiation factor 4G-like; K03260 translation initiation factor 4G
TRINITY_DN7319_c0_g4_i4	mus:103979792	0.0e+00	mus:103979792 serine/threonine-protein kinase SMG1-like isoform X1; K08873 PI-3-kinase-related kinase SMG-1
TRINITY_DN1425_c0_g1_i4	mus:103997169	0.0e+00	mus:103997169 phosphoglucan, water dikinase, chloroplastic; K15535 phosphoglucan, water dikinase [EC:2.7.9.5]
TRINITY_DN3386_c1_g2_i1	mus:103980358	0.0e+00	mus:103980358 serine/threonine-protein kinase TOR; K07203 FKBP12-rapamycin complex-associated protein
TRINITY_DN3386_c1_g2_i1	mus:103980358	0.0e+00	mus:103980358 serine/threonine-protein kinase TOR; K07203 FKBP12-rapamycin complex-associated protein
TRINITY_DN4982_c0_g1_i6	egu:105047469	3.4e-06	egu:105047469 U-box domain-containing protein 4-like; K08332 vacuolar protein 8
TRINITY_DN1854_c0_g1_i5	mus:104000087	7.0e-105	mus:104000087 anaphase-promoting complex subunit 4 isoform X1; K03351 anaphase-promoting complex subunit 4
TRINITY_DN1854_c0_g1_i5	mus:104000087	2.4e-20	mus:104000087 anaphase-promoting complex subunit 4 isoform X1; K03351 anaphase-promoting complex subunit 4
TRINITY_DN17928_c0_g1_i9	mus:103987049	5.1e-164	mus:103987049 tRNA (guanine(37)-N1)-methyltransferase 1-like isoform X1; K15429 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
TRINITY_DN17928_c0_g1_i9	mus:103987049	6.1e-24	mus:103987049 tRNA (guanine(37)-N1)-methyltransferase 1-like isoform X1; K15429 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
TRINITY_DN6287_c0_g2_i4	mus:103968636	0.0e+00	mus:103968636 acetyl-CoA carboxylase 1; K11262 acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14]
TRINITY_DN6287_c0_g2_i4	mus:103968636	0.0e+00	mus:103968636 acetyl-CoA carboxylase 1; K11262 acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14]
TRINITY_DN4907_c0_g1_i3	mtr:MTR_5g037350	1.2e-80	mtr:MTR_5g037350 Elongation factor 1-alpha; K03231 elongation factor 1-alpha
TRINITY_DN9687_c0_g1_i10	pper:PRUPE_ppa004115mg	4.5e-221	pper:PRUPE_ppa004115mg hypothetical protein; K09571 FK506-binding protein 4/5 [EC:5.2.1.8]
TRINITY_DN11310_c0_g1_i11	mus:103969029	0.0e+00	mus:103969029 alpha-aminoadipic semialdehyde synthase; K14157 alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]
TRINITY_DN11310_c0_g1_i11	mus:103969029	4.8e-130	mus:103969029 alpha-aminoadipic semialdehyde synthase; K14157 alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]
TRINITY_DN9413_c0_g3_i6	mus:104000252	0.0e+00	mus:104000252 probable isoleucine--tRNA ligase, cytoplasmic; K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5]
TRINITY_DN7042_c0_g1_i5	mus:103998275	0.0e+00	mus:103998275 DNA polymerase epsilon catalytic subunit A-like; K02324 DNA polymerase epsilon subunit 1 [EC:2.7.7.7]
TRINITY_DN9088_c0_g1_i2	mus:103977171	8.8e-185	mus:103977171 phosphatidylinositol 4-phosphate 5-kinase 1-like isoform X1; K00889 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
TRINITY_DN9088_c0_g1_i2	mus:103977171	6.1e-61	mus:103977171 phosphatidylinositol 4-phosphate 5-kinase 1-like isoform X1; K00889 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
TRINITY_DN4855_c0_g1_i4	egu:105053026	0.0e+00	egu:105053026 protein CHROMATIN REMODELING 4-like; K11643 chromodomain-helicase-DNA-binding protein 4 [EC:3.6.4.12]
TRINITY_DN4086_c0_g2_i9	mus:103985166	0.0e+00	mus:103985166 callose synthase 5-like; K11000 callose synthase [EC:2.4.1.-]
TRINITY_DN4086_c0_g2_i9	mus:103985166	2.0e-197	mus:103985166 callose synthase 5-like; K11000 callose synthase [EC:2.4.1.-]
TRINITY_DN4086_c0_g2_i9	mus:103985166	5.3e-65	mus:103985166 callose synthase 5-like; K11000 callose synthase [EC:2.4.1.-]
TRINITY_DN1431_c0_g1_i3	mdm:103417606	1.3e-23	mdm:103417606 LRR receptor-like serine/threonine-protein kinase GSO1; K19613 leucine-rich repeat protein SHOC2
TRINITY_DN13350_c0_g1_i7	mus:103972884	1.5e-88	mus:103972884 glutamine synthetase nodule isozyme-like; K01915 glutamine synthetase [EC:6.3.1.2]
TRINITY_DN13350_c0_g1_i7	mus:103972884	2.9e-10	mus:103972884 glutamine synthetase nodule isozyme-like; K01915 glutamine synthetase [EC:6.3.1.2]
TRINITY_DN12328_c0_g1_i1	pda:103720737	0.0e+00	pda:103720737 uncharacterized LOC103720737; K19027 zinc finger FYVE domain-containing protein 26
TRINITY_DN1933_c0_g2_i9	mus:103981671	0.0e+00	mus:103981671 midasin; K14572 midasin
TRINITY_DN64_c0_g2_i3	mus:103998423	4.8e-119	mus:103998423 pre-mRNA-processing protein 40A-like isoform X1; K12821 pre-mRNA-processing factor 40
TRINITY_DN64_c0_g2_i3	mus:103998423	3.3e-75	mus:103998423 pre-mRNA-processing protein 40A-like isoform X1; K12821 pre-mRNA-processing factor 40
TRINITY_DN64_c0_g2_i3	mus:103998423	1.2e-48	mus:103998423 pre-mRNA-processing protein 40A-like isoform X1; K12821 pre-mRNA-processing factor 40
TRINITY_DN936_c0_g1_i9	bdi:100840185	4.1e-102	bdi:100840185 pheophorbide a oxygenase, chloroplastic; K13071 pheophorbide a oxygenase [EC:1.14.12.20]
TRINITY_DN936_c0_g1_i9	bdi:100840185	8.9e-73	bdi:100840185 pheophorbide a oxygenase, chloroplastic; K13071 pheophorbide a oxygenase [EC:1.14.12.20]
TRINITY_DN936_c0_g1_i9	bdi:100840185	3.4e-24	bdi:100840185 pheophorbide a oxygenase, chloroplastic; K13071 pheophorbide a oxygenase [EC:1.14.12.20]
TRINITY_DN936_c0_g1_i9	bdi:100840185	2.5e-14	bdi:100840185 pheophorbide a oxygenase, chloroplastic; K13071 pheophorbide a oxygenase [EC:1.14.12.20]
TRINITY_DN7788_c0_g1_i1	pda:103713334	0.0e+00	pda:103713334 glutamate synthase 1 [NADH], chloroplastic; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
TRINITY_DN4329_c0_g1_i1	mus:103972541	0.0e+00	mus:103972541 pre-mRNA-processing-splicing factor 8-like; K12856 pre-mRNA-processing factor 8
TRINITY_DN14399_c0_g1_i8	pda:103702563	0.0e+00	pda:103702563 E3 ubiquitin-protein ligase KEG-like; K16279 E3 ubiquitin-protein ligase KEG [EC:2.7.11.1 2.3.2.27]
TRINITY_DN32289_c0_g3_i13	mpp:MICPUCDRAFT_21435	1.7e-84	mpp:MICPUCDRAFT_21435 set domain protein; K11380 NuA3 HAT complex component NTO1
TRINITY_DN1938_c0_g2_i5	pda:103696395	7.0e-38	pda:103696395 uncharacterized LOC103696395; K13356 alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
TRINITY_DN3792_c0_g1_i3	mus:103973394	0.0e+00	mus:103973394 ATP-dependent helicase BRM-like; K11647 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:3.6.4.-]
TRINITY_DN17194_c0_g3_i2	mus:103987653	0.0e+00	mus:103987653 E3 ubiquitin-protein ligase UPL7; K10588 ubiquitin-protein ligase E3 B [EC:2.3.2.26]
TRINITY_DN4541_c0_g1_i6	mus:103991983	4.9e-286	mus:103991983 SNARE-interacting protein KEULE-like; K15292 syntaxin-binding protein 1
TRINITY_DN4541_c0_g1_i6	mus:103991983	1.1e-19	mus:103991983 SNARE-interacting protein KEULE-like; K15292 syntaxin-binding protein 1
TRINITY_DN9015_c0_g1_i8	mus:103981244	0.0e+00	mus:103981244 uncharacterized protein LOC103981244; K18734 protein SMG8
TRINITY_DN252_c0_g1_i1	mus:103980733	0.0e+00	mus:103980733 probable sucrose-phosphate synthase 1; K00696 sucrose-phosphate synthase [EC:2.4.1.14]
TRINITY_DN3792_c0_g2_i3	mus:103973504	0.0e+00	mus:103973504 ATP-dependent helicase BRM-like; K11647 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:3.6.4.-]
TRINITY_DN3957_c0_g2_i7	mus:103977085	4.3e-101	mus:103977085 putative 12-oxophytodienoate reductase 11; K05894 12-oxophytodienoic acid reductase [EC:1.3.1.42]
TRINITY_DN3957_c0_g2_i7	mus:103977085	1.7e-100	mus:103977085 putative 12-oxophytodienoate reductase 11; K05894 12-oxophytodienoic acid reductase [EC:1.3.1.42]
TRINITY_DN3957_c0_g2_i7	mus:103977085	2.3e-86	mus:103977085 putative 12-oxophytodienoate reductase 11; K05894 12-oxophytodienoic acid reductase [EC:1.3.1.42]
TRINITY_DN3957_c0_g2_i7	mus:103977085	5.4e-11	mus:103977085 putative 12-oxophytodienoate reductase 11; K05894 12-oxophytodienoic acid reductase [EC:1.3.1.42]
TRINITY_DN12761_c0_g1_i15	cme:CYME_CMP267C	1.8e-09	cme:CYME_CMP267C similar to phosphatidic acid-preferring phospholipase A1; K13619 phospholipase DDHD1 [EC:3.1.1.-]
TRINITY_DN12761_c0_g1_i15	cme:CYME_CMP267C	1.8e-09	cme:CYME_CMP267C similar to phosphatidic acid-preferring phospholipase A1; K13619 phospholipase DDHD1 [EC:3.1.1.-]
TRINITY_DN5541_c1_g1_i23	mus:103987831	1.1e-88	mus:103987831 probable sugar phosphate/phosphate translocator At1g06470; K15280 solute carrier family 35, member C2
TRINITY_DN5541_c1_g1_i23	mus:103987831	1.8e-86	mus:103987831 probable sugar phosphate/phosphate translocator At1g06470; K15280 solute carrier family 35, member C2
TRINITY_DN4508_c0_g1_i11	sot:102605617	2.5e-64	sot:102605617 endophilin-A-like; K11247 endophilin-A
TRINITY_DN4508_c0_g1_i11	sot:102605617	5.1e-09	sot:102605617 endophilin-A-like; K11247 endophilin-A
TRINITY_DN4508_c0_g1_i11	sot:102605617	5.1e-09	sot:102605617 endophilin-A-like; K11247 endophilin-A
TRINITY_DN4508_c0_g1_i11	sot:102605617	1.1e-06	sot:102605617 endophilin-A-like; K11247 endophilin-A
TRINITY_DN2747_c0_g1_i18	mdm:103427975	2.2e-12	mdm:103427975 uncharacterized LOC103427975; K12819 pre-mRNA-processing factor SLU7
TRINITY_DN7711_c0_g1_i1	mus:103982567	0.0e+00	mus:103982567 TATA-binding protein-associated factor BTAF1; K15192 TATA-binding protein-associated factor [EC:3.6.4.-]
TRINITY_DN5536_c0_g1_i2	mus:103979888	0.0e+00	mus:103979888 U5 small nuclear ribonucleoprotein 200 kDa helicase-like; K12854 pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13]
TRINITY_DN424_c0_g1_i1	cmo:103493829	4.6e-172	cmo:103493829 uncharacterized calcium-binding protein C800.10c; K12472 epidermal growth factor receptor substrate 15
TRINITY_DN5340_c1_g1_i8	pda:103712408	1.2e-34	pda:103712408 phospholipid-transporting ATPase 2-like; K01530 phospholipid-translocating ATPase [EC:3.6.3.1]
TRINITY_DN24547_c0_g1_i2	mus:103969312	0.0e+00	mus:103969312 2-oxoglutarate dehydrogenase, mitochondrial-like; K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
TRINITY_DN6198_c0_g1_i7	mus:103987796	4.6e-289	mus:103987796 cyclic nucleotide-gated ion channel 1-like; K05391 cyclic nucleotide gated channel, other eukaryote
TRINITY_DN940_c1_g1_i9	mus:103978280	0.0e+00	mus:103978280 alpha-glucan water dikinase, chloroplastic isoform X1; K08244 alpha-glucan, water dikinase [EC:2.7.9.4]
TRINITY_DN5356_c0_g1_i14	mus:103998506	0.0e+00	mus:103998506 lysine-specific demethylase 5B isoform X1; K11446 histone demethylase JARID1 [EC:1.14.11.-]
TRINITY_DN3352_c0_g1_i3	ota:Ot05g00270	5.6e-13	ota:Ot05g00270 Molecular chaperone (DnaJ superfamily) (ISS); K09517 DnaJ homolog subfamily B member 11
TRINITY_DN7433_c0_g1_i8	mus:103995001	1.5e-45	mus:103995001 AP-2 complex subunit sigma; K11827 AP-2 complex subunit sigma-1
TRINITY_DN7433_c0_g1_i8	mus:103995001	6.2e-20	mus:103995001 AP-2 complex subunit sigma; K11827 AP-2 complex subunit sigma-1
TRINITY_DN4647_c0_g1_i1	mus:103991848	0.0e+00	mus:103991848 mediator of RNA polymerase II transcription subunit 13; K15164 mediator of RNA polymerase II transcription subunit 13
TRINITY_DN4647_c0_g1_i1	mus:103991848	0.0e+00	mus:103991848 mediator of RNA polymerase II transcription subunit 13; K15164 mediator of RNA polymerase II transcription subunit 13
TRINITY_DN320_c0_g1_i4	mus:103987877	0.0e+00	mus:103987877 uncharacterized protein LOC103987877; K11978 E3 ubiquitin-protein ligase UBR3 [EC:2.3.2.27]
TRINITY_DN18105_c0_g1_i3	mus:103970409	0.0e+00	mus:103970409 uncharacterized protein At3g06530; K14550 U3 small nucleolar RNA-associated protein 10
TRINITY_DN4997_c0_g2_i6	pvu:PHAVU_007G214600g	1.7e-09	pvu:PHAVU_007G214600g hypothetical protein; K11797 PH-interacting protein
TRINITY_DN7907_c0_g2_i1	mdm:103427975	0.0e+00	mdm:103427975 uncharacterized LOC103427975; K12819 pre-mRNA-processing factor SLU7
TRINITY_DN8477_c0_g2_i4	mdm:103424684	1.6e-129	mdm:103424684 metal transporter Nramp5-like; K12347 natural resistance-associated macrophage protein
TRINITY_DN8477_c0_g2_i4	mdm:103424684	5.8e-79	mdm:103424684 metal transporter Nramp5-like; K12347 natural resistance-associated macrophage protein
TRINITY_DN9584_c0_g1_i7	mus:103978734	0.0e+00	mus:103978734 protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 isoform X1; K11320 E1A-binding protein p400 [EC:3.6.4.-]
TRINITY_DN1572_c1_g1_i3	pda:8890486	1.4e-263	pda:8890486 atpA, PhdaC_p006; ATP synthase CF1 alpha chain; K02111 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
TRINITY_DN2628_c0_g1_i8	ppp:PHYPADRAFT_30018	1.2e-07	ppp:PHYPADRAFT_30018 CHR1545; SWR1 complex protein, SNF2 family DNA-dependent ATPase; K11320 E1A-binding protein p400 [EC:3.6.4.-]
TRINITY_DN6333_c0_g1_i2	mus:103987202	0.0e+00	mus:103987202 uncharacterized protein LOC103987202; K17906 autophagy-related protein 2
TRINITY_DN7434_c0_g1_i1	fve:101295723	8.1e-182	fve:101295723 uncharacterized LOC101295723; K11422 histone-lysine N-methyltransferase SETD1 [EC:2.1.1.43]
TRINITY_DN2356_c0_g1_i3	mus:103990072	0.0e+00	mus:103990072 probable galactinol--sucrose galactosyltransferase 6; K06617 raffinose synthase [EC:2.4.1.82]
TRINITY_DN1626_c0_g1_i4	mus:103997930	9.6e-260	mus:103997930 LOW QUALITY PROTEIN: nuclear-pore anchor; K09291 nucleoprotein TPR
TRINITY_DN1626_c0_g1_i4	mus:103997930	5.8e-257	mus:103997930 LOW QUALITY PROTEIN: nuclear-pore anchor; K09291 nucleoprotein TPR
TRINITY_DN2163_c0_g1_i5	mus:103980263	2.1e-105	mus:103980263 regulation of nuclear pre-mRNA domain-containing protein 1B-like; K15559 regulator of Ty1 transposition protein 103
TRINITY_DN2163_c0_g1_i5	mus:103980263	2.7e-105	mus:103980263 regulation of nuclear pre-mRNA domain-containing protein 1B-like; K15559 regulator of Ty1 transposition protein 103
TRINITY_DN7458_c0_g1_i6	mus:103991791	1.9e-146	mus:103991791 uncharacterized protein LOC103991791; K17602 YLP motif-containing protein 1
TRINITY_DN7458_c0_g1_i6	mus:103991791	1.3e-91	mus:103991791 uncharacterized protein LOC103991791; K17602 YLP motif-containing protein 1
TRINITY_DN5095_c0_g1_i10	egu:105049071	1.3e-240	egu:105049071 SART-1 family protein DOT2; K11984 U4/U6.U5 tri-snRNP-associated protein 1
TRINITY_DN42346_c0_g2_i6	mus:103997440	0.0e+00	mus:103997440 uncharacterized protein LOC103997440 isoform X1; K11423 histone-lysine N-methyltransferase SETD2 [EC:2.1.1.43]
TRINITY_DN49_c0_g2_i3	mus:103985320	0.0e+00	mus:103985320 callose synthase 3-like; K11000 callose synthase [EC:2.4.1.-]
TRINITY_DN2105_c0_g1_i4	mdm:103411291	1.7e-19	mdm:103411291 lysosomal alpha-mannosidase-like; K01191 alpha-mannosidase [EC:3.2.1.24]
TRINITY_DN14152_c0_g1_i2	pda:103702658	2.7e-121	pda:103702658 protein NRT1/ PTR FAMILY 5.10-like; K14638 solute carrier family 15 (peptide/histidine transporter), member 3/4
TRINITY_DN5841_c0_g1_i8	mus:103983343	1.5e-132	mus:103983343 wall-associated receptor kinase-like 2; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
TRINITY_DN5841_c0_g1_i8	mus:103983343	1.1e-130	mus:103983343 wall-associated receptor kinase-like 2; K04733 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
TRINITY_DN10746_c0_g1_i1	vvi:104881249	9.8e-15	vvi:104881249 uncharacterized LOC104881249; K10841 DNA excision repair protein ERCC-6
TRINITY_DN11819_c0_g1_i2	mus:103986541	0.0e+00	mus:103986541 nucleolar protein 14; K14766 nucleolar protein 14
TRINITY_DN11819_c0_g1_i2	mus:103986541	7.9e-291	mus:103986541 nucleolar protein 14; K14766 nucleolar protein 14
TRINITY_DN243_c0_g1_i5	mus:103993796	1.5e-26	mus:103993796 ATP-dependent Clp protease proteolytic subunit 6, chloroplastic; K01358 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
TRINITY_DN2111_c0_g1_i2	mus:103971397	4.8e-240	mus:103971397 serine/threonine-protein phosphatase 6 regulatory subunit 3-like isoform X1; K15501 serine/threonine-protein phosphatase 6 regulatory subunit 3
TRINITY_DN2111_c0_g1_i2	mus:103971397	5.3e-37	mus:103971397 serine/threonine-protein phosphatase 6 regulatory subunit 3-like isoform X1; K15501 serine/threonine-protein phosphatase 6 regulatory subunit 3
TRINITY_DN5610_c0_g1_i8	mus:103968684	0.0e+00	mus:103968684 transcription elongation factor SPT6-like; K11292 transcription elongation factor SPT6
TRINITY_DN4377_c0_g1_i16	mus:103985842	6.3e-139	mus:103985842 uncharacterized protein LOC103985842; K19476 vacuolar protein sorting-associated protein IST1
TRINITY_DN129_c0_g1_i6	bpg:Bathy17g01040	5.7e-07	bpg:Bathy17g01040 abnormal spindle-like microcephaly-associated protein; K16743 abnormal spindle-like microcephaly-associated protein
TRINITY_DN2402_c0_g1_i4	pda:103716903	0.0e+00	pda:103716903 uncharacterized LOC103716903; K11450 lysine-specific histone demethylase 1A [EC:1.-.-.-]
